Sample,PCO1,PCO3,Method
31,0.179863019,0.053362297,BOSS
32,0.432366613,0.11757744,BOSS
33,0.135498739,0.026127845,BOSS
34,0.451454529,0.147901985,BOSS
35,0.212889143,0.099546202,BOSS
36,0.281365834,0.115618799,BOSS
37,0.01871917,0.16299145,BOSS
38,0.197521356,0.136293208,BOSS
39,0.430265019,0.005026223,BOSS
4,-0.434334301,0.283844622,BOSS
40,-0.521438951,0.191508428,BOSS
41,0.14239615,0.144560764,BOSS
42,-0.597794186,0.247064315,BOSS
43,0.047139777,0.208513157,BOSS
44,0.312178126,0.041407809,BOSS
45,-0.505557077,0.272923587,BOSS
46,0.633047893,0.112613456,BOSS
47,-0.028003431,-0.051836345,BOSS
48,0.213876713,0.074387395,BOSS
49,-0.597794186,0.247064315,BOSS
5,0.189328627,0.113631729,BOSS
50,0.441679928,-0.097110989,BOSS
51,0.325422124,0.071104305,BOSS
52,0.489763065,0.021424685,BOSS
53,0.061320822,0.168894158,BOSS
54,0.3693956,0.148372467,BOSS
55,-0.183145859,0.26379594,BOSS
56,0.195616293,-0.25429597,BOSS
57,0.193095004,0.093087152,BOSS
58,-0.147102737,0.343263999,BOSS
59,-0.472840151,0.262443201,BOSS
6,0.556131412,0.012663059,BOSS
60,-0.440864426,0.151554801,BOSS
61,-0.295962524,0.30607322,BOSS
62,0.219851492,0.112118073,BOSS
63,-0.489310468,0.267488194,BOSS
64,0.107044259,0.041765005,BOSS
65,0.222208619,0.087297173,BOSS
66,0.208063951,0.104493443,BOSS
67,0.639699863,0.134566778,BOSS
68,0.119026446,0.107676925,BOSS
69,0.486711826,0.059117666,BOSS
7,0.168463087,0.164197426,BOSS
70,0.262880499,-0.042988337,BOSS
71,0.25029318,0.080030464,BOSS
72,-0.450949928,0.188387708,BOSS
73,-0.240424124,0.264129457,BOSS
74,-0.24786947,0.288648868,BOSS
75,-0.013227196,0.152728884,BOSS
76,0.235812179,0.168788915,BOSS
77,-0.563934819,0.26788914,BOSS
78,0.557772595,0.005525961,BOSS
79,-0.063741243,0.250774223,BOSS
8,0.055598361,0.122099171,BOSS
80,0.400604823,-0.076249025,BOSS
81,-0.574056788,0.311348175,BOSS
82,-0.491255043,0.165974701,BOSS
83,0.13325802,-0.00061817,BOSS
84,-0.307255316,0.340063706,BOSS
85,-0.549068187,0.324937048,BOSS
86,0.385197708,0.048809442,BOSS
87,0.250991978,0.088069155,BOSS
88,0.306700622,0.055415948,BOSS
89,-0.563934819,0.26788914,BOSS
9,0.294155741,-0.016350347,BOSS
90,-0.504294012,0.238129772,BOSS
91,-0.185355693,0.213754748,BOSS
92,0.316121399,0.03035725,BOSS
93,0.245374158,0.096555405,BOSS
94,-0.204420435,0.308121386,BOSS
95,0.559722141,0.077506373,BOSS
96,-0.403076089,0.297961762,BOSS
97,0.527075322,-0.04476143,BOSS
98,0.348447255,0.057614651,BOSS
99,-0.314313429,0.288566158,BOSS
Old Point,-0.273866976,0.23957788,BOSS
1,0.409927992,-0.089819309,BRUV
2,0.501538528,-0.016882294,BRUV
3,0.545323118,-0.151077054,BRUV
4,0.092441206,-0.171674966,BRUV
5,0.260656591,-0.230089434,BRUV
6,0.143023728,-0.182892621,BRUV
7,0.13363997,-0.07191372,BRUV
8,0.268424517,-0.283021195,BRUV
9,0.406281786,-0.005510283,BRUV
10,0.147938395,-0.159353503,BRUV
11,0.504146088,-0.044882707,BRUV
12,0.076475583,-0.175392251,BRUV
13,0.106687476,-0.038600422,BRUV
14,0.495978047,-0.262434276,BRUV
15,0.140531092,-0.158203155,BRUV
16,0.264694078,-0.205568854,BRUV
17,0.144593138,-0.194326328,BRUV
18,0.464847801,-0.224307031,BRUV
20,0.120642873,-0.143269812,BRUV
21,0.20400486,-0.114102562,BRUV
22,0.217378861,-0.010856541,BRUV
23,0.43649943,-0.114663341,BRUV
24,0.314013002,-0.201309766,BRUV
25,0.417457392,-0.039236905,BRUV
26,0.353169536,-0.087527958,BRUV
27,0.178196374,-0.133895919,BRUV
28,0.427242035,-0.17166101,BRUV
29,0.379863877,-0.168489767,BRUV
30,0.37806179,-0.046899934,BRUV
31,0.378776462,-0.109321249,BRUV
32,0.460159098,-0.111720058,BRUV
33,0.505030882,-0.097527529,BRUV
34,-0.187829913,0.007182319,BRUV
35,0.299701464,-0.078732261,BRUV
36,0.371504957,-0.045150865,BRUV
37,-0.181268401,-0.029320025,BRUV
38,0.261208351,-0.020623516,BRUV
39,0.324361025,-0.14086239,BRUV
40,0.246785476,-0.167498033,BRUV
IO1,-0.356436757,-0.011264319,BRUV
IO100,0.322966835,-0.060712684,BRUV
IO101,0.199577389,-0.095317299,BRUV
IO102,0.310382549,-0.177193724,BRUV
IO110,-0.428001596,-0.623209608,BRUV
IO113,-0.498896423,-0.454400103,BRUV
IO115,-0.562373289,-0.578870741,BRUV
IO117,-0.523462566,-0.577973297,BRUV
IO119,-0.007303836,-0.095852742,BRUV
IO122,0.215353975,-0.248943771,BRUV
IO123,0.169429137,-0.002982305,BRUV
IO125,0.210214636,-0.147086445,BRUV
IO126,0.092231616,-0.234838146,BRUV
IO15,0.274249885,-0.108171074,BRUV
IO16,0.281349716,-0.256971287,BRUV
IO17,0.112946817,-0.07225735,BRUV
IO195,0.403034842,-0.260880749,BRUV
IO199,0.22893269,-0.095934279,BRUV
IO201,-0.135567096,-0.138153672,BRUV
IO204,-0.194092122,-0.145444646,BRUV
IO206,-0.113763425,-0.061076693,BRUV
IO207,0.083956339,0.081341381,BRUV
IO210,0.181987428,-0.099003603,BRUV
IO211,0.484328426,-0.070951135,BRUV
IO215,-0.255953483,-0.031318399,BRUV
IO216,0.036299003,-0.008690608,BRUV
IO217,-0.053459825,-0.172334334,BRUV
IO218,-0.419806258,-0.061676653,BRUV
IO220,0.129628492,-0.106483342,BRUV
IO222,0.079839374,-0.100593225,BRUV
IO223,0.05030416,-0.038201016,BRUV
IO224,0.01048903,-0.118143899,BRUV
IO225,0.096263997,-0.185566014,BRUV
IO226,0.523695001,-0.026843869,BRUV
IO235,0.316844519,-0.174168049,BRUV
IO236,0.28835997,-0.153303424,BRUV
IO237,-0.342984386,-0.09037836,BRUV
IO239,-0.203904023,-0.091895827,BRUV
IO291,-0.448277435,-0.461696658,BRUV
IO293,-0.459939965,-0.242159785,BRUV
IO294,-0.462247593,-0.325976263,BRUV
IO295,-0.491892494,-0.491371156,BRUV
IO297,-0.525416833,-0.571294554,BRUV
IO3,-0.195488034,-0.010764737,BRUV
IO302,-0.458202086,-0.398274252,BRUV
IO306,-0.492628922,-0.486242786,BRUV
IO307,-0.365474148,-0.479197984,BRUV
IO308,-0.41321226,-0.327201963,BRUV
IO310,-0.259552029,-0.137429768,BRUV
IO311,-0.210003743,-0.124483379,BRUV
IO312,-0.036292031,0.017967804,BRUV
IO313,-0.515508657,-0.663515904,BRUV
IO319,-0.482542491,-0.430898439,BRUV
IO329,-0.511521641,-0.452372076,BRUV
IO330,-0.500014386,-0.443464964,BRUV
IO331,-0.288364578,-0.520518473,BRUV
IO332,-0.518386378,-0.648098469,BRUV
IO333,-0.322786785,-0.346714322,BRUV
IO334,-0.278666716,0.085533618,BRUV
IO335,0.192313768,-0.233079172,BRUV
IO336,0.212649944,-0.180895877,BRUV
IO34,0.179947737,-0.14117575,BRUV
IO353,0.287527412,-0.196130095,BRUV
IO354,0.285628599,-0.258667008,BRUV
IO355,0.191194817,-0.080694667,BRUV
IO356,0.074365852,-0.266690491,BRUV
IO357,0.170935728,-0.257045737,BRUV
IO377,-0.525997359,-0.587478297,BRUV
IO4,-0.295274566,-0.126661203,BRUV
IO5,-0.204967671,0.075834772,BRUV
IO58,-0.361610826,-0.655720048,BRUV
IO59,-0.467564171,-0.530290775,BRUV
IO62,-0.463962733,-0.517481886,BRUV
IO80,0.346713162,-0.051764893,BRUV
IO81,0.035485745,-0.266633127,BRUV
IO91,0.106262368,-0.052395452,BRUV
IO92,0.13815712,-0.154358385,BRUV
IO95,-0.537555843,-0.577681744,BRUV
IO96,-0.420966109,-0.533128333,BRUV
IO98,-0.457522217,-0.328729329,BRUV
IOC04,-0.490675014,-0.557146637,BRUV
IOC05,-0.091996938,-0.085258166,BRUV
