Sample,PCO1,PCO2,Method
15,-0.527369474,0.0257713,BRUV
15,-0.527369474,0.0257713,BRUV
16,-0.545376494,0.133586827,BRUV
16,-0.545376494,0.133586827,BRUV
17,-0.571665754,0.043788508,BRUV
17,-0.571665754,0.043788508,BRUV
18,-0.610752863,0.121718265,BRUV
18,-0.610752863,0.121718265,BRUV
19,-0.388473424,-0.12180935,BRUV
19,-0.388473424,-0.12180935,BRUV
20,-0.351779058,0.073890619,BRUV
21,-0.54597837,-0.069238842,BRUV
21,-0.54597837,-0.069238842,BRUV
22,-0.554765513,0.039418654,BRUV
22,-0.554765513,0.039418654,BRUV
23,-0.421563901,0.187962916,BRUV
23,-0.421563901,0.187962916,BRUV
24,-0.393502439,0.184188774,BRUV
25,-0.666990139,0.03222238,BRUV
25,-0.666990139,0.03222238,BRUV
26,-0.42037438,0.051059138,BRUV
26,-0.42037438,0.051059138,BRUV
27,-0.48168967,-0.114287197,BRUV
27,-0.48168967,-0.114287197,BRUV
28,-0.489213486,-0.136490677,BRUV
29,-0.290549857,-0.141079969,BRUV
30,-0.334093823,-0.066602719,BRUV
31,-0.310325259,0.003342655,BRUV
32,-0.336305575,0.099043519,BRUV
33,-0.309788068,0.106480217,BRUV
34,-0.402854142,-0.145509671,BRUV
35,-0.433526459,-0.002949916,BRUV
36,-0.312327808,0.118236551,BRUV
37,-0.375100678,-0.089145164,BRUV
38,-0.086331574,-0.238664948,BRUV
39,-0.305074472,-0.020298679,BRUV
40,-0.415441064,-0.010706283,BRUV
41,-0.403575424,0.026700385,BRUV
42,-0.52814029,0.282696738,BRUV
43,-0.520004566,-0.003385456,BRUV
44,-0.334659868,0.169550078,BRUV
45,-0.441475065,-0.064860708,BRUV
46,-0.301332316,-0.00029635,BRUV
47,-0.329744348,-0.000451636,BRUV
48,-0.271343288,-0.01389071,BRUV
49,0.542153737,0.157054236,BRUV
50,-0.32066695,-0.143012895,BRUV
51,-0.344670851,-0.071945109,BRUV
52,-0.389338553,-0.099954194,BRUV
53,-0.268775913,-0.161670499,BRUV
54,-0.269190847,-0.166263571,BRUV
55,-0.491939511,0.208272932,BRUV
56,-0.585709456,0.060239773,BRUV
57,-0.27074384,0.026742996,BRUV
58,-0.548024973,0.253351795,BRUV
59,-0.424950461,0.028341153,BRUV
60,-0.452190031,-0.069881434,BRUV
61,-0.164818528,-0.33913971,BRUV
62,-0.277888771,0.006602023,BRUV
63,-0.186630724,-0.320574075,BRUV
64,-0.361337271,-0.103619156,BRUV
