OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20220519-1-NAKED	89	20220519_BOTTOM_1_0010_0001.mp4	69969	20220519_TOP_1_0010_0001.mp4	67433	199.45537	264	0.06507	748.06345	-1294.72198	-6226.94723	9.45266	15.82351	75.72653	1.34333	6403.96563	13.40331	Mullidae	Parupeneus	spilurus	37355015	1	AD	Passing			
20220519-1-NAKED	90	20220519_BOTTOM_1_0010_0001.mp4	69994	20220519_TOP_1_0010_0001.mp4	67458	199.46232	264	0.07202	1099.16277	-1663.54977	-3832.92312	7.95634	11.99362	27.61855	0.25578	4320.51575	27.38734	Serranidae	Plectropomus	spp		1	AD	Passing			
20220519-1-NAKED	100	20220519_BOTTOM_1_0011_0001.mp4	1623	20220519_TOP_1_0010_0001.mp4	71015	200.45136	264	1.06106	801.55145	742.99974	-2994.08094	4.69731	4.33030	17.04205	0.48693	3187.32709	19.79602	SUS	SUS	SUS	2	1000	AD	Passing			
20220519-1-NAKED	103	20220519_BOTTOM_1_0011_0001.mp4	5298	20220519_TOP_1_0011_0001.mp4	2762	201.47322	264	2.08291	200.09559	-206.24538	-6723.76232	4.15326	4.11659	88.95720	7.82414	6729.90008	2.36590	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220519-1-NAKED	105	20220519_BOTTOM_1_0011_0001.mp4	5853	20220519_TOP_1_0011_0001.mp4	3317	201.62754	264	2.23724	-815.08972	1089.75360	-3011.94582	5.09610	6.67500	18.47247	0.00142	3305.10995	24.00943	Chaetodontidae	Chaetodon	assarius	37365012	1	AD	Passing			
20220519-1-NAKED	108	20220519_BOTTOM_1_0011_0001.mp4	42598	20220519_TOP_1_0011_0001.mp4	40062	211.84469	262	0.89506	771.47784	-1424.75320	-3194.33957	4.76852	8.57843	19.15656	2.98957	3581.74608	26.76987	Balistidae	Xanthichthys	lineopunctatus	37465016	1	AD	Passing			
20220519-1-NAKED	109	20220519_BOTTOM_1_0011_0001.mp4	42724	20220519_TOP_1_0011_0001.mp4	40188	211.87972	262	0.93010	-740.72420	-3274.95854	-6196.06116	9.48796	40.00144	76.16761	6.40530	7047.35410	28.31489	Lethrinidae		spp		1	AD	Passing			
20220519-1-NAKED	115	20220519_BOTTOM_1_0011_0001.mp4	50030	20220519_TOP_1_0011_0001.mp4	47494	213.91120	262	2.96157	-785.35412	1079.30979	-1979.29882	3.11758	4.37092	7.68364	0.20750	2387.32372	34.49333	SUS	SUS	SUS	2	1	AD	Passing			
20220519-2-NAKED	0	20220519_BOTTOM_2_0001_0001.mp4	18935	20220519_TOP_2_0001_0001.mp4	19644	5.26498	266	0.70014	1322.95690	-1752.92085	-5661.43757	14.26682	19.34685	60.65013	1.02982	6072.46423	21.50790	Lutjanidae	Pristipomoides	sp1		3	AD	Passing			
20220519-2-NAKED	3	20220519_BOTTOM_2_0001_0001.mp4	26637	20220519_TOP_2_0001_0001.mp4	27346	7.40657	266	2.84173	-555.27990	1764.28678	-3410.12265	4.02554	12.26143	23.00041	5.94108	3879.43039	29.06133	SUS	SUS	SUS	2	1	AD	Passing			
20220519-2-NAKED	4	20220519_BOTTOM_2_0002_0001.mp4	1454	20220519_TOP_2_0002_0001.mp4	2163	20.40427	253	1.33244	1238.68573	-3143.76424	-5837.72944	13.43799	34.38381	62.91392	1.15551	6745.12275	30.41894	Carangidae	Seriola	spp		1	AD	Passing			
20220519-2-NAKED	6	20220519_BOTTOM_2_0002_0001.mp4	6498	20220519_TOP_2_0002_0001.mp4	7207	21.80679	253	2.73495	-989.06329	338.95884	-2590.00152	5.27812	2.21105	13.77729	0.38075	2793.07127	22.02057	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
