OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210520-1	30	0	2151.68940	1204.92537	2191.98321	1237.16418
20210520-1	31	0	2543.18153	1355.38806	2583.27177	1369.44776
20210520-1	31	1	2472.66737	1361.43284	2522.83106	1375.49254
20210520-1	32	0	2111.92130	1335.37313	2152.27492	1373.89552
20210520-1	32	1	2015.21616	1331.34328	2065.64323	1373.89552
20210520-1	33	0	2941.44806	1147.61194	2979.72718	1162.01493
20210520-1	33	1	2854.81637	1169.77612	2895.11018	1190.22388
20210520-1	34	0	3171.12277	1212.08955	3221.49003	1218.43284
20210520-1	34	1	3084.49108	1244.32836	3126.79958	1250.67164
20210520-1	35	0	3077.37041	1114.19403	3114.71144	1092.08955
20210520-1	35	1	2998.79748	1108.14925	3038.15320	1088.05970
20210520-1	36	0	2309.77335	1154.49254	2341.07030	1160.59701
20210520-1	36	1	2241.27387	1156.50746	2268.54145	1164.62687
20210520-1	37	0	2815.34313	1234.16418	2853.59496	1216.85075
20210520-1	37	1	2740.79958	1222.07463	2779.05142	1210.80597
20210520-1	38	0	2978.53305	1254.31343	3032.90241	1228.94030
20210520-1	38	1	2912.04827	1248.26866	2952.31480	1228.94030
20210520-1	39	0	2696.47639	1300.65672	2736.74292	1289.38806
20210520-1	39	1	2627.97692	1286.55224	2666.22875	1275.28358
20210520-1	40	0	2678.34418	1129.38806	2710.55194	1108.04478
20210520-1	40	1	2621.93284	1109.23881	2648.09654	1087.89552
20210520-1	41	0	3279.55446	878.19802	3221.02970	1046.48515
20210520-1	41	1	3338.96040	879.98020	3281.02970	1048.26733
20210520-1	42	0	2438.03941	967.39606	2416.55172	1068.18381
20210520-1	43	0	2655.07921	1823.34653	2723.66337	1827.09901
20210520-1	43	1	2721.21782	1822.15842	2787.02970	1823.53465
20210520-1	44	0	415.24752	489.75248	481.18812	442.95050
20210520-1	44	1	92.67327	521.83168	163.96040	504.73267
20210520-1	45	0	1680.41872	1036.30197	1711.92118	1070.54705
20210520-1	46	0	2425.68730	858.35821	2401.51102	1059.85075
20210520-1	47	0	2726.30693	623.09901	2710.40594	821.87129
20210520-1	47	1	2662.54455	614.78218	2648.62376	804.44554
20210520-1	48	0	1115.89109	801.36634	1160.00000	896.77228
20210520-1	48	1	1019.65347	806.51485	1071.28713	906.27723
20210520-1	49	0	2460.31683	802.55446	2445.54455	933.45545
20210520-1	49	1	2335.96040	799.78218	2321.18812	932.26733
20210520-1	50	0	1164.69307	765.16832	1199.50495	1058.10891
20210520-1	50	1	1209.24752	765.16832	1248.21782	1059.29703
20210520-1	51	0	334.45545	1917.02970	320.19802	1974.05941
20210520-1	51	1	212.67327	1905.14851	197.22772	1968.11881
20210520-1	52	0	2695.19802	1451.89109	2749.21782	1543.46535
20210520-1	52	1	2715.99010	1427.53465	2770.00990	1517.32673
20210520-1	53	0	2773.61386	1450.10891	2828.22772	1555.94059
20210520-1	53	1	2739.75248	1463.17822	2794.96040	1571.98020
20210520-1	54	0	2451.36634	841.64356	2434.40594	1004.33663
20210520-1	54	1	2520.27723	860.05941	2502.12871	1026.31683
20210520-1	55	0	1191.51485	1825.73267	1145.58416	1925.34653
20210520-1	56	0	2282.75248	1997.82178	2390.49505	2148.11881
20210520-1	57	0	2489.67327	1881.98020	2571.00000	1998.41584
20210520-1	57	1	2358.98020	1856.43564	2443.87129	1977.62376
20210520-1	58	0	3009.43564	866.81188	2965.46535	1064.76238
20210520-1	59	0	3343.53465	690.55446	3321.65347	772.62376
20210520-1	59	1	3137.59406	658.87129	3125.21782	708.86139
20210520-1	60	0	2512.28571	1033.18600	2487.52709	1074.29759
20210520-1	61	0	1289.02956	1021.93873	1331.54680	1074.50766
20210520-1	62	0	2304.95050	943.36634	2283.56436	1069.30693
20210520-1	63	0	2799.74877	281.17505	2816.48768	228.85120
20210520-1	63	1	2738.66502	255.17943	2753.82759	197.73523
20210520-1	64	0	2796.24138	224.50766	2815.75862	224.30853
20210520-1	64	1	2708.35961	183.54486	2728.27094	174.68053
20210520-1	65	0	610.04926	73.26039	650.24631	2.36324
20210520-1	66	0	2097.33990	1855.14223	2217.93103	2152.91028
20210520-1	67	0	2921.72906	680.18381	2895.19212	840.92341
20210520-1	67	1	2955.22660	704.60394	2929.47783	864.55580
20210520-1	68	0	2866.24631	777.60394	2834.19212	964.17943
20210520-1	68	1	2812.65025	776.42232	2784.14286	974.42013
20210520-1	69	0	2287.56650	520.84464	2282.07882	630.82495
20210520-1	69	1	2326.58128	556.29322	2314.78818	667.45514
20210520-1	70	0	569.55172	934.21663	648.21675	1077.87746
20210520-1	71	0	2354.00525	308.28358	2355.87513	233.73134
20210520-1	72	0	3159.03960	613.04950	3102.04950	954.92079
20210520-1	72	1	3210.72277	572.65347	3159.67327	922.24752
20210520-1	73	0	193.41028	173.28358	223.63064	102.76119
20210520-1	74	0	2124.09864	605.77612	2121.93494	507.61194
20210520-1	75	0	1544.12592	1024.77612	1578.43442	1071.26866
20210520-1	75	1	1431.30325	986.49254	1461.58237	1028.95522
20210520-1	76	0	2006.63169	2039.10448	2147.66002	2147.91045
