OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
10	45	0	1714.02760	497.25753	1658.61982	443.07692
10	46	0	1770.63990	357.87291	1621.88206	292.50502
10	46	1	1623.08657	346.43478	1453.85194	293.70903
10	47	0	1133.45044	502.07358	1182.83563	493.64548
10	48	0	1134.65496	471.97324	1193.67629	452.70903
10	49	0	623.80803	556.07692	522.98118	571.57525
10	49	1	729.80552	533.20067	624.16060	545.08696
10	50	0	1496.25972	594.85284	1363.04391	564.80268
10	50	1	1381.22836	590.03679	1251.62610	565.40468
10	51	0	1817.61606	565.88629	1900.72773	510.50167
10	52	0	1065.81681	498.49498	845.44166	494.08696
10	52	1	945.36512	475.61873	710.53576	482.64883
10	53	0	875.64492	773.79264	364.96863	782.01672
10	53	1	636.54831	756.93645	98.16813	780.81271
10	54	0	1582.73526	769.27090	1310.69260	746.53512
10	55	0	1586.34881	543.01003	1528.53199	497.25753
10	56	0	1602.00753	781.40468	1416.51192	757.32441
10	57	0	1430.96612	717.59197	1297.26474	697.12375
10	58	0	1557.73526	579.68896	1424.86324	543.83946
10	58	1	1411.38645	551.39465	1278.51443	526.38127
10	59	0	964.21455	496.90635	761.32497	500.48161
10	59	1	838.34253	495.70234	645.08908	508.30769
10	60	0	955.54454	684.51505	866.14680	680.73913
10	60	1	876.64868	669.46488	791.46675	669.30100
10	61	0	1120.33124	471.60870	1101.78545	455.21739
10	61	1	1211.27227	466.79264	1190.31744	444.98328
10	62	0	567.32748	564.68227	295.10665	588.76254
10	63	0	755.23212	453.91304	767.27729	462.34114
10	64	0	1172.58093	636.29097	1036.28607	627.15719
10	64	1	1290.02133	603.18060	1160.95358	585.01672
10	65	0	1312.86324	438.34114	1215.80552	414.11706
10	65	1	1211.08156	431.71906	1117.03513	413.51505
10	66	0	1200.11543	525.04682	1168.16939	505.73913
10	66	1	1131.45797	522.63880	1103.12547	507.54515
10	67	0	746.85194	489.52843	615.85069	503.37124
10	67	1	878.74655	499.76254	740.51819	503.37124
10	68	0	1008.18068	937.92642	605.87202	930.70234
11	0	0	49.38519	984.88294	3.61355	951.17057
11	1	0	1630.91593	249.23077	1683.91468	234.18060
11	2	0	489.03388	262.47492	544.44166	282.94314
11	3	0	1132.32999	201.67224	1103.54705	194.44816
11	4	0	1309.30991	268.49498	1365.92221	262.47492
11	5	0	845.74153	145.05351	857.49937	154.71572
11	6	0	896.33124	84.85284	887.01004	89.09699
11	7	0	943.90966	12.61204	894.23714	14.44816
11	8	0	816.69134	294.38127	831.03388	300.21070
11	8	1	707.68256	266.08696	726.24090	280.34448
11	9	0	798.02133	302.20736	835.24969	313.45485
11	9	1	884.74655	329.89967	920.16813	336.93311
11	10	0	1213.23965	302.47826	1246.41029	300.87291
11	10	1	1305.98745	316.32441	1347.58971	316.52508
11	11	0	529.98745	105.35117	528.34253	129.43144
11	11	1	660.07528	146.28763	656.02133	164.94983
11	12	0	1073.11418	325.66890	1101.25094	329.99666
11	12	1	1179.11167	342.52508	1211.46424	345.04682
11	13	0	847.24969	369.10702	905.38645	375.09699
11	13	1	918.91844	381.14716	977.65747	385.93311
11	14	0	557.69134	321.47157	645.62108	332.30769
11	15	0	1695.95985	268.49498	1744.14053	242.00669
11	16	0	908.04642	222.74247	958.22585	231.17057
11	16	1	979.11292	213.11037	1029.89460	219.73244
11	17	0	1502.03262	757.32441	1443.01129	782.60870
11	18	0	363.76412	847.62542	262.58469	836.78930
11	19	0	1870.61481	675.45151	1820.02509	682.67559
11	20	0	990.21832	1006.75920	543.23714	1010.76923
11	20	1	830.61982	1027.82943	391.46801	1024.01338
11	21	0	1799.54831	530.44482	1843.51317	536.03679
11	21	1	1608.03011	546.09699	1627.30238	551.08696
11	22	0	1459.27227	552.86288	1491.79423	557.43478
11	23	0	1302.68507	756.20736	974.51443	768.84281
11	23	1	1639.34755	667.11037	1363.57340	675.53177
11	24	0	983.29360	519.44482	936.97616	527.67893
11	24	1	808.03639	517.63880	771.95734	522.86288
11	25	0	772.12673	473.37458	823.25094	480.71906
11	25	1	923.29360	476.38462	975.02008	483.12709
11	26	0	817.96738	557.20401	672.68632	555.58194
11	26	1	1043.21205	655.33110	867.81807	659.72910
11	27	0	1887.47804	576.72241	1906.75031	575.51839
11	28	0	943.02760	546.76254	814.44668	549.49833
