OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
20210519-1	0	0	0.00000	0	20210519_1108-1552_TOP_0001_0001.mp4	68332	59.94006
20210519-1	0	0	0.00000	0	20210519_1108-1552_TOP_0002_0001.mp4	68331	59.94006
20210519-1	0	0	0.00000	0	20210519_1108-1552_TOP_0003_0001.mp4	68332	59.94006
20210519-1	0	0	0.00000	0	20210519_1108-1552_TOP_0004_0001.mp4	68332	59.94006
20210519-1	0	0	0.00000	0	20210519_1108-1552_TOP_0005_0001.mp4	68169	59.94006
20210519-1	1	0	0.00000	0	20210519_1108-1552_BOTTOM_0001_0001.mp4	68332	59.94006
20210519-1	1	0	0.00000	0	20210519_1108-1552_BOTTOM_0002_0001.mp4	68331	59.94006
20210519-1	1	0	0.00000	0	20210519_1108-1552_BOTTOM_0003_0001.mp4	68332	59.94006
20210519-1	1	0	0.00000	0	20210519_1108-1552_BOTTOM_0004_0001.mp4	68332	59.94006
20210519-1	1	0	0.00000	0	20210519_1108-1552_BOTTOM_0005_0001.mp4	62184	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0001_0001.mp4	68332	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0002_0001.mp4	68331	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0003_0001.mp4	68332	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0004_0001.mp4	68332	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0005_0001.mp4	68331	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0006_0001.mp4	68332	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0007_0001.mp4	68332	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0008_0001.mp4	68331	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0009_0001.mp4	68332	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0010_0001.mp4	68332	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0011_0001.mp4	68331	59.94006
20210519-2	0	0	0.00000	0	20210519_1108-1552_BOTTOM2_0012_0001.mp4	53007	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0001_0001.mp4	68332	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0002_0001.mp4	68331	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0003_0001.mp4	68332	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0004_0001.mp4	68332	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0005_0001.mp4	68331	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0006_0001.mp4	68332	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0007_0001.mp4	68332	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0008_0001.mp4	68331	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0009_0001.mp4	68332	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0010_0001.mp4	68332	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0011_0001.mp4	68331	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0012_0001.mp4	68332	59.94006
20210519-2	1	0	0.00000	0	20210519_1108-1552_TOP2_0013_0001.mp4	3425	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0001_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0002_0001.mp4	68331	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0003_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0004_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0005_0001.mp4	68331	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0006_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0007_0001.mp4	68332	59.94006
20210520-1	0	0	0.00000	0	20210520_0809-1314_BOTTOM_0008_0001.mp4	68331	59.94006
