"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","location","status","depth","successful.count","successful.length"
"2020-10_south-west_BOSS","207","20201108_0653-1053_TOP_0009.avi","2.23946","Mullidae","Parupeneus","chrysopleuron",1,"-34.0612","114.7864","20201108",NA,NA,"60.2","Yes",NA
"2020-10_south-west_BOSS","207","20201108_0653-1053_TOP_0009.avi","1.17173","Scorpididae","Neatypus","obliquus",1,"-34.0612","114.7864","20201108",NA,NA,"60.2","Yes",NA
"2020-10_south-west_BOSS","207","20201108_0653-1053_TOP_0009.avi","0.91981","SUS","SUS","SUS",2,"-34.0612","114.7864","20201108",NA,NA,"60.2","Yes",NA
"2020-10_south-west_BOSS","215","20201031_0704-0744_top_0003.avi","1.87854","Platycephalidae","Platycephalus","spp",3,"-34.0687","114.9264","20201031",NA,NA,"46.9","Yes",NA
"2020-10_south-west_BOSS","216","20201031_0704-0744_top_0001.avi","0.72183","Labridae","Austrolabrus","maculatus",1,"-34.0612","114.9164","20201031",NA,NA,"47.5","Yes",NA
"2020-10_south-west_BOSS","216","20201031_0704-0744_top_0001.avi","1.02769","Labridae","Ophthalmolepis","lineolatus",3,"-34.0612","114.9164","20201031",NA,NA,"47.5","Yes",NA
"2020-10_south-west_BOSS","216","20201031_0704-0744_top_0001.avi","2.33011","Serranidae","Caesioperca","spp",4,"-34.0612","114.9164","20201031",NA,NA,"47.5","Yes",NA
"2020-10_south-west_BOSS","217","20201031_0704-0744_top_0002.avi","0.26193","Carangidae","Pseudocaranx","spp",3,"-34.0662","114.9189","20201031",NA,NA,"46.3","Yes",NA
"2020-10_south-west_BOSS","217","20201031_0704-0744_top_0002.avi","0.96652","Labridae","Coris","auricularis",7,"-34.0662","114.9189","20201031",NA,NA,"46.3","Yes",NA
"2020-10_south-west_BOSS","217","20201031_0704-0744_top_0003.avi","2.98910","Scorpididae","Tilodon","sexfasciatus",1,"-34.0662","114.9189","20201031",NA,NA,"46.3","Yes",NA
"2020-10_south-west_BOSS","227","20201108_1136-1340_TOP_0005.avi","1.59548","Labridae","Coris","auricularis",1,"-33.9987","114.7839","20201108",NA,NA,"54.1","Yes",NA
"2020-10_south-west_BOSS","227","20201108_1136-1340_TOP_0005.avi","1.96307","Labridae","Eupetrichthys","angustipes",1,"-33.9987","114.7839","20201108",NA,NA,"54.1","Yes",NA
"2020-10_south-west_BOSS","227","20201108_1136-1340_TOP_0005.avi","1.09943","Labridae","Ophthalmolepis","lineolatus",4,"-33.9987","114.7839","20201108",NA,NA,"54.1","Yes",NA
"2020-10_south-west_BOSS","227","20201108_1136-1340_TOP_0005.avi","2.62262","Labridae","Pseudolabrus","biserialis",4,"-33.9987","114.7839","20201108",NA,NA,"54.1","Yes",NA
"2020-10_south-west_BOSS","227","20201108_1136-1340_TOP_0005.avi","0.49883","Mullidae","Parupeneus","chrysopleuron",1,"-33.9987","114.7839","20201108",NA,NA,"54.1","Yes",NA
"2020-10_south-west_BOSS","228","20201108_1136-1340_TOP_0006.avi","0.99210","Labridae","Pseudolabrus","biserialis",1,"-34.0037","114.7939","20201108",NA,NA,"50.6","Yes",NA
"2020-10_south-west_BOSS","228","20201108_1136-1340_TOP_0006.avi","1.07774","Scorpididae","Neatypus","obliquus",2,"-34.0037","114.7939","20201108",NA,NA,"50.6","Yes",NA
"2020-10_south-west_BOSS","228","20201108_1136-1340_TOP_0006.avi","1.29073","SUS","SUS","SUS",1,"-34.0037","114.7939","20201108",NA,NA,"50.6","Yes",NA
