"campaignid","sample","dataset","planned.or.exploratory","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","method","commonwealth.zone","state.zone","status"
"2020-10_south-west_stereo-BRUVs","FH31","FH","MBH",-33.67368897,114.8238721,"20201012","8:27:00","South-west","C.FH.2",45.4,"Daphne","Yes","Yes","RAW2","BU1","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH32","FH","MBH",-33.69618897,114.9463721,"20201017","8:50:00","South-west","C.FH.5",42.9,"Daphne","Yes","No","RAW1","CON1/CON2","BRUV",NA,"Injidup Sanctuary Zone","No-take"
"2020-10_south-west_stereo-BRUVs","FH33","FH","MBH",-33.70868897,114.8263721,"20201012","10:54:00","South-west","C.FH.6",42.3,"Daphne","Yes","No","RAW2",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH34","FH","MBH",-33.78618897,114.8838721,"20201017","11:51:00","South-west","C.FH.11",44.8,"Daphne","Yes","Yes","RAW1","BU1","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH35","FH","MBH",-33.88368897,114.9313721,"20201029","15:09:00","South-west","C.FH.17",45.2,"Rachel","Yes","Yes","RAW4","CON3","BRUV",NA,NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH37","FH","MBH",-33.71118897,114.8138721,"20201012","11:03:00","South-west","C.FH.6",44.2,"Daphne","Yes","Yes","RAW2","BU5.5","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH39","FH","MBH",-33.90368897,114.9313721,"20201029","14:44:00","South-west","C.FH.18",44.8,"Daphne","Yes","Yes","RAW4",NA,"BRUV",NA,NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH40","FH","MBH",-33.92368897,114.8888721,"20201029","12:40:00","South-west","C.FH.21",42.9,"Daphne","Yes","No","RAW4","CON3","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH41","FH","MBH",-33.67118897,114.8388721,"20201012","8:01:00","South-west","C.FH.1",44.1,"Claude","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH42","FH","MBH",-33.88118897,114.8113721,"20201013","7:38:00","South-west","C.FH.16",45.7,"Hayley","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
