"unique_id","scientific","maxn","family","genus","species","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length","method","length","number"
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_2","Acanthuridae Naso fageni",20,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","2",-22.6957,113.5628,20220522,"14:16:25",NA,NA,NA,77.3,"Kaitlin McCloghry","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_39","Acanthuridae Naso fageni",1,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","39",-22.7105,113.5539,20220522,"10:35:24",NA,NA,NA,78.9,"Kaitlin McCloghry","Yes","Yes","BRUV",482.0717,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",453.89497,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",440.5525,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",406.76308,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_45","Acanthuridae Naso fageni",11,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","45",-22.7602,113.5432,20220520,"09:23:19",NA,NA,NA,81.8,"test video","Yes","Yes","BRUV",NA,1
