GAB,unique_id,scientific,maxn,family,genus,species,campaignid,sample,latitude,longitude,date,time,location,status,site,depth,observer.count,successful.count,successful.length,method
225,2022-05_PtCloates_stereo-BRUVS_21,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,21,-22.6893,113.5652,20220522,14:43:14,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
226,2022-05_PtCloates_stereo-BRUVS_30,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,30,-22.7058,113.5588,20220522,10:47:54,NA,NA,NA,78.5,Kaitlin McCloghry,Yes,Yes,BRUV
227,2022-05_PtCloates_stereo-BRUVS_33,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,33,-22.719,113.549,20220522,10:09:30,NA,NA,NA,85.4,Kaitlin McCloghry,Yes,Yes,BRUV
228,2022-05_PtCloates_stereo-BRUVS_34,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,34,-22.6928,113.5645,20220522,14:38:27,NA,NA,NA,76.4,Kaitlin McCloghry,Yes,Yes,BRUV
229,2022-05_PtCloates_stereo-BRUVS_35,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,35,-22.6987,113.551,20220522,12:46:10,NA,NA,NA,94.6,Kaitlin McCloghry,Yes,Yes,BRUV
231,2022-05_PtCloates_stereo-BRUVS_45,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,45,-22.7602,113.5432,20220520,9:23:19,NA,NA,NA,81.8,test video,Yes,Yes,BRUV
232,2022-05_PtCloates_stereo-BRUVS_48,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,48,-22.696,113.5596,20220522,14:21:46,NA,NA,NA,80.2,Henry Evans,Yes,Yes,BRUV
233,2022-05_PtCloates_stereo-BRUVS_5,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,5,-22.7218,113.5506,20220522,8:50:54,NA,NA,NA,81.9,Kaitlin McCloghry,Yes,Yes,BRUV
234,2022-05_PtCloates_stereo-BRUVS_51,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,51,-22.69,113.5609,20220522,14:49:13,NA,NA,NA,79.4,Henry Evans,Yes,Yes,BRUV
235,2022-05_PtCloates_stereo-BRUVS_53,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,53,-22.6839,113.5636,20220526,8:29:10,NA,NA,NA,78.2,Kaitlin McCloghry,Yes,Yes,BRUV
236,2022-05_PtCloates_stereo-BRUVS_54,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,54,-22.7654,113.5392,20220520,8:32:36,NA,NA,NA,83.1,Molly Gerrans,Yes,Yes,BRUV
237,2022-05_PtCloates_stereo-BRUVS_58,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,58,-22.7056,113.5502,20220522,12:28:44,NA,NA,NA,90.9,Kaitlin McCloghry,Yes,Yes,BRUV
238,2022-05_PtCloates_stereo-BRUVS_59,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,59,-22.7437,113.5452,20220520,12:37:35,NA,NA,NA,83.5,Kaitlin McCloghry,Yes,Yes,BRUV
240,2022-05_PtCloates_stereo-BRUVS_9,Carcharhinidae Carcharhinus albimarginatus,1,Carcharhinidae,Carcharhinus,albimarginatus,2022-05_PtCloates_stereo-BRUVS,9,-22.6934,113.5571,20220522,14:27:15,NA,NA,NA,84.9,Henry Evans,Yes,Yes,BRUV
242,2021-05_PtCloates_BRUVS_7,Carcharhinidae Carcharhinus macloti,2,Carcharhinidae,Carcharhinus,macloti,2021-05_PtCloates_BRUVS,7,-22.7287,113.5365,20210518,12:57:00,Point Cloates,No-take,inNP.7,100,Charlotte Aston,Yes,Yes,BRUV
241,2021-05_PtCloates_BRUVS_4,Carcharhinidae Carcharhinus macloti,1,Carcharhinidae,Carcharhinus,macloti,2021-05_PtCloates_BRUVS,4,-22.6937,113.5413,20210518,15:00:00,Point Cloates,No-take,inNP.4,110,Charlotte Aston,Yes,Yes,BRUV
243,2021-05_PtCloates_BRUVS_10,Carcharhinidae Carcharhinus plumbeus,2,Carcharhinidae,Carcharhinus,plumbeus,2021-05_PtCloates_BRUVS,10,-22.6734,113.524,20210518,15:27:00,Point Cloates,No-take,inNP.10,197,Charlotte Aston,Yes,Yes,BRUV
249,2021-05_PtCloates_BRUVS_5,Carcharhinidae Carcharhinus plumbeus,2,Carcharhinidae,Carcharhinus,plumbeus,2021-05_PtCloates_BRUVS,5,-22.6837,113.5139,20210519,7:59:00,Point Cloates,No-take,inNP.5,206,Gabby Cummins,Yes,Yes,BRUV
244,2021-05_PtCloates_BRUVS_18,Carcharhinidae Carcharhinus plumbeus,1,Carcharhinidae,Carcharhinus,plumbeus,2021-05_PtCloates_BRUVS,18,-22.7311,113.4913,20210519,8:40:00,Point Cloates,Fished,outNP.6,204,Gabby Cummins,Yes,Yes,BRUV
245,2021-05_PtCloates_BRUVS_19,Carcharhinidae Carcharhinus plumbeus,1,Carcharhinidae,Carcharhinus,plumbeus,2021-05_PtCloates_BRUVS,19,-22.7437,113.484,20210519,8:53:00,Point Cloates,Fished,outNP.7,206,Gabby Cummins,Yes,NA,BRUV
246,2021-05_PtCloates_BRUVS_23,Carcharhinidae Carcharhinus plumbeus,1,Carcharhinidae,Carcharhinus,plumbeus,2021-05_PtCloates_BRUVS,23,-22.7362,113.4887,20210519,8:42:00,Point Cloates,Fished,outNP.11,204,Gabby Cummins,Yes,Yes,BRUV
247,2021-05_PtCloates_BRUVS_25,Carcharhinidae Carcharhinus plumbeus,1,Carcharhinidae,Carcharhinus,plumbeus,2021-05_PtCloates_BRUVS,25,-22.7937,113.4939,20210518,12:11:00,Point Cloates,Fished,outNP.13,135,Charlotte Aston,Yes,Yes,BRUV
248,2021-05_PtCloates_BRUVS_26,Carcharhinidae Carcharhinus plumbeus,1,Carcharhinidae,Carcharhinus,plumbeus,2021-05_PtCloates_BRUVS,26,-22.7537,113.4763,20210519,8:59:00,Point Cloates,Fished,outNP.14,209,Gabby Cummins,Yes,Yes,BRUV
250,2021-05_PtCloates_BRUVS_9,Carcharhinidae Carcharhinus plumbeus,1,Carcharhinidae,Carcharhinus,plumbeus,2021-05_PtCloates_BRUVS,9,-22.6962,113.5064,20210519,8:27:00,Point Cloates,No-take,inNP.9,207,Gabby Cummins,Yes,Yes,BRUV
251,2022-05_PtCloates_stereo-BRUVS_24,Carcharhinidae Carcharhinus plumbeus,1,Carcharhinidae,Carcharhinus,plumbeus,2022-05_PtCloates_stereo-BRUVS,24,-22.7426,113.5507,20220520,12:42:58,NA,NA,NA,79.3,Kaitlin McCloghry,Yes,Yes,BRUV
252,2022-05_PtCloates_stereo-BRUVS_47,Carcharhinidae Carcharhinus plumbeus,1,Carcharhinidae,Carcharhinus,plumbeus,2022-05_PtCloates_stereo-BRUVS,47,-22.6999,113.5592,20220522,12:59:50,NA,NA,NA,80.8,Kaitlin McCloghry,Yes,Yes,BRUV
253,2022-05_PtCloates_stereo-BRUVS_37,Carcharhinidae Carcharhinus spp,1,Carcharhinidae,Carcharhinus,spp,2022-05_PtCloates_stereo-BRUVS,37,-22.7475,113.5445,20220520,12:23:05,NA,NA,NA,81.3,Kaitlin McCloghry,Yes,Yes,BRUV
254,2022-05_PtCloates_stereo-BRUVS_4,Carcharhinidae Carcharhinus spp,1,Carcharhinidae,Carcharhinus,spp,2022-05_PtCloates_stereo-BRUVS,4,-22.7337,113.5555,20220520,14:40:43,NA,NA,NA,73.9,Kaitlin McCloghry,Yes,Yes,BRUV
255,2022-05_PtCloates_stereo-BRUVS_46,Carcharhinidae Carcharhinus spp,1,Carcharhinidae,Carcharhinus,spp,2022-05_PtCloates_stereo-BRUVS,46,-22.693,113.5605,20220522,14:30:54,NA,NA,NA,79.5,Kaitlin McCloghry,Yes,Yes,BRUV
256,2022-05_PtCloates_stereo-BRUVS_7,Carcharhinidae Galeocerdo cuvier,1,Carcharhinidae,Galeocerdo,cuvier,2022-05_PtCloates_stereo-BRUVS,7,-22.7574,113.5382,20220520,9:36:32,NA,NA,NA,89.3,Kaitlin McCloghry,Yes,Yes,BRUV
257,2021-05_PtCloates_BRUVS_15,Carcharhinidae Hemitriakis spp,2,Carcharhinidae,Hemitriakis,spp,2021-05_PtCloates_BRUVS,15,-22.7461,113.5138,20210518,12:40:00,Point Cloates,Fished,outNP.3,130,Charlotte Aston,Yes,Yes,BRUV
261,2022-05_PtCloates_stereo-BRUVS_43,Carcharhinidae Loxodon macrorhinus,2,Carcharhinidae,Loxodon,macrorhinus,2022-05_PtCloates_stereo-BRUVS,43,-22.7328,113.5589,20220522,8:03:30,NA,NA,NA,70.6,Henry Evans,Yes,Yes,BRUV
258,2021-05_PtCloates_BRUVS_6,Carcharhinidae Loxodon macrorhinus,1,Carcharhinidae,Loxodon,macrorhinus,2021-05_PtCloates_BRUVS,6,-22.721,113.5465,20210518,14:41:00,Point Cloates,No-take,inNP.6,88.5,Charlotte Aston,Yes,Yes,BRUV
259,2022-05_PtCloates_stereo-BRUVS_20,Carcharhinidae Loxodon macrorhinus,1,Carcharhinidae,Loxodon,macrorhinus,2022-05_PtCloates_stereo-BRUVS,20,-22.7212,113.5561,20220522,8:44:53,NA,NA,NA,76,Henry Evans,Yes,Yes,BRUV
260,2022-05_PtCloates_stereo-BRUVS_32,Carcharhinidae Loxodon macrorhinus,1,Carcharhinidae,Loxodon,macrorhinus,2022-05_PtCloates_stereo-BRUVS,32,-22.7239,113.5552,20220522,8:39:35,NA,NA,NA,78.3,Henry Evans,Yes,Yes,BRUV
262,2022-05_PtCloates_stereo-BRUVS_8,Carcharhinidae Loxodon macrorhinus,1,Carcharhinidae,Loxodon,macrorhinus,2022-05_PtCloates_stereo-BRUVS,8,-22.7298,113.5538,20220522,8:12:35,NA,NA,NA,76.4,Kaitlin McCloghry,Yes,Yes,BRUV
263,2021-05_PtCloates_BRUVS_13,Carcharhinidae Unknown spp,1,Carcharhinidae,Unknown,spp,2021-05_PtCloates_BRUVS,13,-22.7963,113.5041,20210518,12:08:00,Point Cloates,Fished,outNP.1,116,Charlotte Aston,Yes,Yes,BRUV
264,2021-05_PtCloates_BRUVS_2,Carcharhinidae Unknown spp,1,Carcharhinidae,Unknown,spp,2021-05_PtCloates_BRUVS,2,-22.7108,113.5386,20210518,14:46:00,Point Cloates,No-take,inNP.2,104,Charlotte Aston,Yes,Yes,BRUV
265,2022-05_PtCloates_stereo-BRUVS_58,Chaetodontidae Chaetodon assarius,1,Chaetodontidae,Chaetodon,assarius,2022-05_PtCloates_stereo-BRUVS,58,-22.7056,113.5502,20220522,12:28:44,NA,NA,NA,90.9,Kaitlin McCloghry,Yes,Yes,BRUV
266,2022-05_PtCloates_stereo-BRUVS_19,Chaetodontidae Heniochus acuminatus,3,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_stereo-BRUVS,19,-22.6847,113.5669,20220526,8:33:41,NA,NA,NA,76.4,Kaitlin McCloghry,Yes,Yes,BRUV
267,2022-05_PtCloates_stereo-BRUVS_2,Chaetodontidae Heniochus acuminatus,2,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_stereo-BRUVS,2,-22.6957,113.5628,20220522,14:16:25,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
268,2022-05_PtCloates_stereo-BRUVS_47,Chaetodontidae Heniochus acuminatus,1,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_stereo-BRUVS,47,-22.6999,113.5592,20220522,12:59:50,NA,NA,NA,80.8,Kaitlin McCloghry,Yes,Yes,BRUV
269,2022-05_PtCloates_stereo-BRUVS_48,Chaetodontidae Heniochus acuminatus,1,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_stereo-BRUVS,48,-22.696,113.5596,20220522,14:21:46,NA,NA,NA,80.2,Henry Evans,Yes,Yes,BRUV
270,2022-05_PtCloates_stereo-BRUVS_53,Chaetodontidae Heniochus acuminatus,1,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_stereo-BRUVS,53,-22.6839,113.5636,20220526,8:29:10,NA,NA,NA,78.2,Kaitlin McCloghry,Yes,Yes,BRUV
272,2022-05_PtCloates_stereo-BRUVS_13,Cirrhitidae Cirrhitichthys aprinus,2,Cirrhitidae,Cirrhitichthys,aprinus,2022-05_PtCloates_stereo-BRUVS,13,-22.6872,113.5606,20220526,8:42:37,NA,NA,NA,82.1,Kaitlin McCloghry,Yes,Yes,BRUV
273,2022-05_PtCloates_stereo-BRUVS_17,Cirrhitidae Cirrhitichthys aprinus,2,Cirrhitidae,Cirrhitichthys,aprinus,2022-05_PtCloates_stereo-BRUVS,17,-22.7011,113.5532,20220522,12:45:32,NA,NA,NA,86.5,Henry Evans,Yes,Yes,BRUV
271,2021-05_PtCloates_BRUVS_11,Cirrhitidae Cirrhitichthys aprinus,1,Cirrhitidae,Cirrhitichthys,aprinus,2021-05_PtCloates_BRUVS,11,-22.6761,113.5387,20210518,15:20:00,Point Cloates,No-take,inNP.11,139,Charlotte Aston,Yes,Yes,BRUV
274,2022-05_PtCloates_stereo-BRUVS_53,Cirrhitidae Cirrhitichthys aprinus,1,Cirrhitidae,Cirrhitichthys,aprinus,2022-05_PtCloates_stereo-BRUVS,53,-22.6839,113.5636,20220526,8:29:10,NA,NA,NA,78.2,Kaitlin McCloghry,Yes,Yes,BRUV
276,2021-05_PtCloates_BRUVS_17,Cirrhitidae Cyprinocirrhites polyactis,2,Cirrhitidae,Cyprinocirrhites,polyactis,2021-05_PtCloates_BRUVS,17,-22.7757,113.5195,20210518,12:28:00,Point Cloates,Fished,outNP.5,104,Charlotte Aston,Yes,Yes,BRUV
275,2021-05_PtCloates_BRUVS_1,Cirrhitidae Cyprinocirrhites polyactis,1,Cirrhitidae,Cyprinocirrhites,polyactis,2021-05_PtCloates_BRUVS,1,-22.696,113.5315,20210518,14:56:00,Point Cloates,No-take,inNP.1,129,Charlotte Aston/Henry Evans,Yes,Yes,BRUV
277,2021-05_PtCloates_BRUVS_3,Cirrhitidae Cyprinocirrhites polyactis,1,Cirrhitidae,Cyprinocirrhites,polyactis,2021-05_PtCloates_BRUVS,3,-22.7087,113.5263,20210518,14:51:00,Point Cloates,No-take,inNP.3,129,Charlotte Aston,Yes,Yes,BRUV
281,2022-05_PtCloates_stereo-BRUVS_39,Cirrhitidae Paracirrhites forsteri,8,Cirrhitidae,Paracirrhites,forsteri,2022-05_PtCloates_stereo-BRUVS,39,-22.7105,113.5539,20220522,10:35:24,NA,NA,NA,78.9,Kaitlin McCloghry,Yes,Yes,BRUV
278,2022-05_PtCloates_stereo-BRUVS_17,Cirrhitidae Paracirrhites forsteri,5,Cirrhitidae,Paracirrhites,forsteri,2022-05_PtCloates_stereo-BRUVS,17,-22.7011,113.5532,20220522,12:45:32,NA,NA,NA,86.5,Henry Evans,Yes,Yes,BRUV
279,2022-05_PtCloates_stereo-BRUVS_2,Cirrhitidae Paracirrhites forsteri,2,Cirrhitidae,Paracirrhites,forsteri,2022-05_PtCloates_stereo-BRUVS,2,-22.6957,113.5628,20220522,14:16:25,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
280,2022-05_PtCloates_stereo-BRUVS_22,Cirrhitidae Paracirrhites forsteri,1,Cirrhitidae,Paracirrhites,forsteri,2022-05_PtCloates_stereo-BRUVS,22,-22.7072,113.5554,20220522,10:42:04,NA,NA,NA,81.3,Henry Evans,Yes,Yes,BRUV
282,2022-05_PtCloates_stereo-BRUVS_50,Cirrhitidae Paracirrhites forsteri,1,Cirrhitidae,Paracirrhites,forsteri,2022-05_PtCloates_stereo-BRUVS,50,-22.7173,113.5528,20220522,10:14:30,NA,NA,NA,81.9,Kaitlin McCloghry,Yes,Yes,BRUV
283,2022-05_PtCloates_stereo-BRUVS_61,Cirrhitidae Paracirrhites forsteri,1,Cirrhitidae,Paracirrhites,forsteri,2022-05_PtCloates_stereo-BRUVS,61,-22.6779,113.5654,20220526,8:23:34,NA,NA,NA,79.8,Kaitlin McCloghry,Yes,Yes,BRUV
284,2021-05_PtCloates_BRUVS_14,Dasyatidae Taeniurops meyeni,1,Dasyatidae,Taeniurops,meyeni,2021-05_PtCloates_BRUVS,14,-22.7413,113.4991,20210519,8:48:00,Point Cloates,Fished,outNP.2,179,Gabby Cummins,Yes,Yes,BRUV
285,2021-05_PtCloates_BRUVS_22,Dasyatidae Taeniurops meyeni,1,Dasyatidae,Taeniurops,meyeni,2021-05_PtCloates_BRUVS,22,-22.7812,113.4964,20210518,12:19:00,Point Cloates,Fished,outNP.10,138,Charlotte Aston,Yes,Yes,BRUV
294,2022-05_PtCloates_stereo-BRUVS_16,Echeneidae Echeneis naucrates,2,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,16,-22.7406,113.5395,20220520,14:06:11,NA,NA,NA,93.2,Henry Evans,Yes,Yes,BRUV
307,2022-05_PtCloates_stereo-BRUVS_9,Echeneidae Echeneis naucrates,2,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,9,-22.6934,113.5571,20220522,14:27:15,NA,NA,NA,84.9,Henry Evans,Yes,Yes,BRUV
286,2021-05_PtCloates_BRUVS_12,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2021-05_PtCloates_BRUVS,12,-22.7262,113.5214,20210518,12:48:00,Point Cloates,No-take,inNP.12,126,Charlotte Aston,Yes,Yes,BRUV
287,2021-05_PtCloates_BRUVS_13,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2021-05_PtCloates_BRUVS,13,-22.7963,113.5041,20210518,12:08:00,Point Cloates,Fished,outNP.1,116,Charlotte Aston,Yes,Yes,BRUV
288,2021-05_PtCloates_BRUVS_15,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2021-05_PtCloates_BRUVS,15,-22.7461,113.5138,20210518,12:40:00,Point Cloates,Fished,outNP.3,130,Charlotte Aston,Yes,Yes,BRUV
289,2021-05_PtCloates_BRUVS_6,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2021-05_PtCloates_BRUVS,6,-22.721,113.5465,20210518,14:41:00,Point Cloates,No-take,inNP.6,88.5,Charlotte Aston,Yes,Yes,BRUV
290,2021-05_PtCloates_BRUVS_7,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2021-05_PtCloates_BRUVS,7,-22.7287,113.5365,20210518,12:57:00,Point Cloates,No-take,inNP.7,100,Charlotte Aston,Yes,Yes,BRUV
291,2021-05_PtCloates_BRUVS_8,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2021-05_PtCloates_BRUVS,8,-22.6884,113.5563,20210518,15:12:00,Point Cloates,No-take,inNP.8,89.3,Charlotte Aston,Yes,Yes,BRUV
292,2022-05_PtCloates_stereo-BRUVS_14,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,14,-22.6876,113.5568,20220526,8:48:10,NA,NA,NA,90.5,Kaitlin McCloghry,Yes,Yes,BRUV
293,2022-05_PtCloates_stereo-BRUVS_15,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,15,-22.6977,113.5561,20220522,12:55:29,NA,NA,NA,83.9,Kaitlin McCloghry,Yes,Yes,BRUV
295,2022-05_PtCloates_stereo-BRUVS_20,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,20,-22.7212,113.5561,20220522,8:44:53,NA,NA,NA,76,Henry Evans,Yes,Yes,BRUV
296,2022-05_PtCloates_stereo-BRUVS_24,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,24,-22.7426,113.5507,20220520,12:42:58,NA,NA,NA,79.3,Kaitlin McCloghry,Yes,Yes,BRUV
297,2022-05_PtCloates_stereo-BRUVS_26,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,26,-22.7615,113.5484,20220520,9:08:31,NA,NA,NA,77.2,Kaitlin McCloghry,Yes,Yes,BRUV
298,2022-05_PtCloates_stereo-BRUVS_35,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,35,-22.6987,113.551,20220522,12:46:10,NA,NA,NA,94.6,Kaitlin McCloghry,Yes,Yes,BRUV
299,2022-05_PtCloates_stereo-BRUVS_37,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,37,-22.7475,113.5445,20220520,12:23:05,NA,NA,NA,81.3,Kaitlin McCloghry,Yes,Yes,BRUV
300,2022-05_PtCloates_stereo-BRUVS_41,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,41,-22.7154,113.5479,20220522,10:21:59,NA,NA,NA,89.7,Henry Evans,Yes,Yes,BRUV
301,2022-05_PtCloates_stereo-BRUVS_44,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,44,-22.7482,113.549,20220520,12:17:32,NA,NA,NA,79.4,Henry Evans,Yes,Yes,BRUV
302,2022-05_PtCloates_stereo-BRUVS_45,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,45,-22.7602,113.5432,20220520,9:23:19,NA,NA,NA,81.8,test video,Yes,Yes,BRUV
303,2022-05_PtCloates_stereo-BRUVS_46,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,46,-22.693,113.5605,20220522,14:30:54,NA,NA,NA,79.5,Kaitlin McCloghry,Yes,Yes,BRUV
304,2022-05_PtCloates_stereo-BRUVS_50,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,50,-22.7173,113.5528,20220522,10:14:30,NA,NA,NA,81.9,Kaitlin McCloghry,Yes,Yes,BRUV
305,2022-05_PtCloates_stereo-BRUVS_55,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,55,-22.7564,113.529,20220520,9:48:49,NA,NA,NA,89.1,test video,Yes,Yes,BRUV
306,2022-05_PtCloates_stereo-BRUVS_56,Echeneidae Echeneis naucrates,1,Echeneidae,Echeneis,naucrates,2022-05_PtCloates_stereo-BRUVS,56,-22.7534,113.5302,20220520,10:09:08,NA,NA,NA,99.8,Kaitlin McCloghry,Yes,Yes,BRUV
308,2022-05_PtCloates_stereo-BRUVS_45,Ephippidae Platax batavianus,1,Ephippidae,Platax,batavianus,2022-05_PtCloates_stereo-BRUVS,45,-22.7602,113.5432,20220520,9:23:19,NA,NA,NA,81.8,test video,Yes,Yes,BRUV
309,2022-05_PtCloates_stereo-BRUVS_22,Fistulariidae Fistularia commersonii,1,Fistulariidae,Fistularia,commersonii,2022-05_PtCloates_stereo-BRUVS,22,-22.7072,113.5554,20220522,10:42:04,NA,NA,NA,81.3,Henry Evans,Yes,Yes,BRUV
310,2022-05_PtCloates_stereo-BRUVS_35,Fistulariidae Fistularia commersonii,1,Fistulariidae,Fistularia,commersonii,2022-05_PtCloates_stereo-BRUVS,35,-22.6987,113.551,20220522,12:46:10,NA,NA,NA,94.6,Kaitlin McCloghry,Yes,Yes,BRUV
311,2022-05_PtCloates_stereo-BRUVS_51,Fistulariidae Fistularia commersonii,1,Fistulariidae,Fistularia,commersonii,2022-05_PtCloates_stereo-BRUVS,51,-22.69,113.5609,20220522,14:49:13,NA,NA,NA,79.4,Henry Evans,Yes,Yes,BRUV
312,2021-05_PtCloates_BRUVS_8,Gobiidae Unknown spp,1,Gobiidae,Unknown,spp,2021-05_PtCloates_BRUVS,8,-22.6884,113.5563,20210518,15:12:00,Point Cloates,No-take,inNP.8,89.3,Charlotte Aston,Yes,Yes,BRUV
313,2022-05_PtCloates_stereo-BRUVS_13,Haemulidae Diagramma pictum,1,Haemulidae,Diagramma,pictum,2022-05_PtCloates_stereo-BRUVS,13,-22.6872,113.5606,20220526,8:42:37,NA,NA,NA,82.1,Kaitlin McCloghry,Yes,Yes,BRUV
314,2022-05_PtCloates_stereo-BRUVS_2,Haemulidae Diagramma pictum,1,Haemulidae,Diagramma,pictum,2022-05_PtCloates_stereo-BRUVS,2,-22.6957,113.5628,20220522,14:16:25,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
315,2022-05_PtCloates_stereo-BRUVS_43,Haemulidae Diagramma pictum,1,Haemulidae,Diagramma,pictum,2022-05_PtCloates_stereo-BRUVS,43,-22.7328,113.5589,20220522,8:03:30,NA,NA,NA,70.6,Henry Evans,Yes,Yes,BRUV
316,2022-05_PtCloates_stereo-BRUVS_64,Haemulidae Diagramma pictum,1,Haemulidae,Diagramma,pictum,2022-05_PtCloates_stereo-BRUVS,64,-22.7343,113.5508,20220520,14:30:16,NA,NA,NA,79.2,Kaitlin McCloghry,Yes,Yes,BRUV
317,2021-05_PtCloates_BRUVS_17,Labridae Bodianus izuensis,2,Labridae,Bodianus,izuensis,2021-05_PtCloates_BRUVS,17,-22.7757,113.5195,20210518,12:28:00,Point Cloates,Fished,outNP.5,104,Charlotte Aston,Yes,Yes,BRUV
334,2022-05_PtCloates_stereo-BRUVS_45,Labridae Bodianus solatus,7,Labridae,Bodianus,solatus,2022-05_PtCloates_stereo-BRUVS,45,-22.7602,113.5432,20220520,9:23:19,NA,NA,NA,81.8,test video,Yes,Yes,BRUV
340,2022-05_PtCloates_stereo-BRUVS_60,Labridae Bodianus solatus,4,Labridae,Bodianus,solatus,2022-05_PtCloates_stereo-BRUVS,60,-22.7516,113.5386,20220520,12:05:02,NA,NA,NA,91,Kaitlin McCloghry,Yes,Yes,BRUV
320,2021-05_PtCloates_BRUVS_13,Labridae Bodianus solatus,3,Labridae,Bodianus,solatus,2021-05_PtCloates_BRUVS,13,-22.7963,113.5041,20210518,12:08:00,Point Cloates,Fished,outNP.1,116,Charlotte Aston,Yes,Yes,BRUV
329,2022-05_PtCloates_stereo-BRUVS_22,Labridae Bodianus solatus,3,Labridae,Bodianus,solatus,2022-05_PtCloates_stereo-BRUVS,22,-22.7072,113.5554,20220522,10:42:04,NA,NA,NA,81.3,Henry Evans,Yes,Yes,BRUV
337,2022-05_PtCloates_stereo-BRUVS_52,Labridae Bodianus solatus,3,Labridae,Bodianus,solatus,2022-05_PtCloates_stereo-BRUVS,52,-22.7635,113.5348,20220520,8:50:37,NA,NA,NA,91,Molly Gerrans,Yes,Yes,BRUV
