GAB,unique_id,scientific,maxn,family,genus,species,campaignid,sample,latitude,longitude,date,time,location,status,site,depth,observer.count,successful.count,successful.length,method
20,2022-05_PtCloates_stereo-BRUVS_16,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,16,-22.7406,113.5395,20220520,14:06:11,NA,NA,NA,93.2,Henry Evans,Yes,Yes,BRUV
21,2022-05_PtCloates_stereo-BRUVS_23,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,23,-22.734,113.542,20220520,14:15:28,NA,NA,NA,91.4,Henry Evans,Yes,Yes,BRUV
22,2022-05_PtCloates_stereo-BRUVS_24,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,24,-22.7426,113.5507,20220520,12:42:58,NA,NA,NA,79.3,Kaitlin McCloghry,Yes,Yes,BRUV
23,2022-05_PtCloates_stereo-BRUVS_32,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,32,-22.7239,113.5552,20220522,8:39:35,NA,NA,NA,78.3,Henry Evans,Yes,Yes,BRUV
25,2022-05_PtCloates_stereo-BRUVS_40,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,40,-22.7522,113.5444,20220520,11:58:07,NA,NA,NA,84.1,Henry Evans,Yes,Yes,BRUV
26,2022-05_PtCloates_stereo-BRUVS_42,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,42,-22.6952,113.5537,20220522,12:51:14,NA,NA,NA,92.3,Kaitlin McCloghry,Yes,Yes,BRUV
27,2022-05_PtCloates_stereo-BRUVS_43,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,43,-22.7328,113.5589,20220522,8:03:30,NA,NA,NA,70.6,Henry Evans,Yes,Yes,BRUV
28,2022-05_PtCloates_stereo-BRUVS_44,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,44,-22.7482,113.549,20220520,12:17:32,NA,NA,NA,79.4,Henry Evans,Yes,Yes,BRUV
30,2022-05_PtCloates_stereo-BRUVS_59,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,59,-22.7437,113.5452,20220520,12:37:35,NA,NA,NA,83.5,Kaitlin McCloghry,Yes,Yes,BRUV
31,2022-05_PtCloates_stereo-BRUVS_62,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,62,-22.7375,113.542,20220520,14:11:26,NA,NA,NA,90.1,Henry Evans,Yes,Yes,BRUV
32,2022-05_PtCloates_stereo-BRUVS_7,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,7,-22.7574,113.5382,20220520,9:36:32,NA,NA,NA,89.3,Kaitlin McCloghry,Yes,Yes,BRUV
34,2022-05_PtCloates_stereo-BRUVS_9,Balistidae Abalistes filamentosus,1,Balistidae,Abalistes,filamentosus,2022-05_PtCloates_stereo-BRUVS,9,-22.6934,113.5571,20220522,14:27:15,NA,NA,NA,84.9,Henry Evans,Yes,Yes,BRUV
36,2022-05_PtCloates_stereo-BRUVS_6,Balistidae Abalistes stellatus,2,Balistidae,Abalistes,stellatus,2022-05_PtCloates_stereo-BRUVS,6,-22.7459,113.5531,20220520,12:30:12,NA,NA,NA,74.3,Kaitlin McCloghry,Yes,Yes,BRUV
35,2022-05_PtCloates_stereo-BRUVS_12,Balistidae Abalistes stellatus,1,Balistidae,Abalistes,stellatus,2022-05_PtCloates_stereo-BRUVS,12,-22.7505,113.5476,20220520,12:11:27,NA,NA,NA,80.5,Henry Evans,Yes,Yes,BRUV
37,2022-05_PtCloates_stereo-BRUVS_64,Balistidae Pseudobalistes flavimarginatus,1,Balistidae,Pseudobalistes,flavimarginatus,2022-05_PtCloates_stereo-BRUVS,64,-22.7343,113.5508,20220520,14:30:16,NA,NA,NA,79.2,Kaitlin McCloghry,Yes,Yes,BRUV
38,2022-05_PtCloates_stereo-BRUVS_2,Balistidae Pseudobalistes fuscus,1,Balistidae,Pseudobalistes,fuscus,2022-05_PtCloates_stereo-BRUVS,2,-22.6957,113.5628,20220522,14:16:25,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
39,2022-05_PtCloates_stereo-BRUVS_43,Balistidae Pseudobalistes fuscus,1,Balistidae,Pseudobalistes,fuscus,2022-05_PtCloates_stereo-BRUVS,43,-22.7328,113.5589,20220522,8:03:30,NA,NA,NA,70.6,Henry Evans,Yes,Yes,BRUV
41,2022-05_PtCloates_stereo-BRUVS_22,Balistidae Sufflamen fraenatum,2,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,22,-22.7072,113.5554,20220522,10:42:04,NA,NA,NA,81.3,Henry Evans,Yes,Yes,BRUV
44,2022-05_PtCloates_stereo-BRUVS_30,Balistidae Sufflamen fraenatum,2,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,30,-22.7058,113.5588,20220522,10:47:54,NA,NA,NA,78.5,Kaitlin McCloghry,Yes,Yes,BRUV
47,2022-05_PtCloates_stereo-BRUVS_39,Balistidae Sufflamen fraenatum,2,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,39,-22.7105,113.5539,20220522,10:35:24,NA,NA,NA,78.9,Kaitlin McCloghry,Yes,Yes,BRUV
50,2022-05_PtCloates_stereo-BRUVS_45,Balistidae Sufflamen fraenatum,2,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,45,-22.7602,113.5432,20220520,9:23:19,NA,NA,NA,81.8,test video,Yes,Yes,BRUV
40,2022-05_PtCloates_stereo-BRUVS_2,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,2,-22.6957,113.5628,20220522,14:16:25,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
42,2022-05_PtCloates_stereo-BRUVS_27,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,27,-22.7254,113.5459,20220522,8:31:16,NA,NA,NA,90.4,Kaitlin McCloghry,Yes,Yes,BRUV
43,2022-05_PtCloates_stereo-BRUVS_28,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,28,-22.6987,113.5625,20220522,13:05:17,NA,NA,NA,76.3,Kaitlin McCloghry,Yes,Yes,BRUV
45,2022-05_PtCloates_stereo-BRUVS_31,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,31,-22.7542,113.5424,20220520,10:27:48,NA,NA,NA,82.3,Kaitlin McCloghry,Yes,Yes,BRUV
46,2022-05_PtCloates_stereo-BRUVS_32,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,32,-22.7239,113.5552,20220522,8:39:35,NA,NA,NA,78.3,Henry Evans,Yes,Yes,BRUV
48,2022-05_PtCloates_stereo-BRUVS_40,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,40,-22.7522,113.5444,20220520,11:58:07,NA,NA,NA,84.1,Henry Evans,Yes,Yes,BRUV
49,2022-05_PtCloates_stereo-BRUVS_44,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,44,-22.7482,113.549,20220520,12:17:32,NA,NA,NA,79.4,Henry Evans,Yes,Yes,BRUV
51,2022-05_PtCloates_stereo-BRUVS_59,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,59,-22.7437,113.5452,20220520,12:37:35,NA,NA,NA,83.5,Kaitlin McCloghry,Yes,Yes,BRUV
52,2022-05_PtCloates_stereo-BRUVS_6,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,6,-22.7459,113.5531,20220520,12:30:12,NA,NA,NA,74.3,Kaitlin McCloghry,Yes,Yes,BRUV
53,2022-05_PtCloates_stereo-BRUVS_64,Balistidae Sufflamen fraenatum,1,Balistidae,Sufflamen,fraenatum,2022-05_PtCloates_stereo-BRUVS,64,-22.7343,113.5508,20220520,14:30:16,NA,NA,NA,79.2,Kaitlin McCloghry,Yes,Yes,BRUV
55,2022-05_PtCloates_stereo-BRUVS_45,Balistidae Xanthichthys lineopunctatus,2,Balistidae,Xanthichthys,lineopunctatus,2022-05_PtCloates_stereo-BRUVS,45,-22.7602,113.5432,20220520,9:23:19,NA,NA,NA,81.8,test video,Yes,Yes,BRUV
54,2022-05_PtCloates_stereo-BRUVS_30,Balistidae Xanthichthys lineopunctatus,1,Balistidae,Xanthichthys,lineopunctatus,2022-05_PtCloates_stereo-BRUVS,30,-22.7058,113.5588,20220522,10:47:54,NA,NA,NA,78.5,Kaitlin McCloghry,Yes,Yes,BRUV
56,2021-05_PtCloates_BRUVS_8,Carangidae Carangoides caeruleopinnatus,1,Carangidae,Carangoides,caeruleopinnatus,2021-05_PtCloates_BRUVS,8,-22.6884,113.5563,20210518,15:12:00,Point Cloates,No-take,inNP.8,89.3,Charlotte Aston,Yes,Yes,BRUV
98,2022-05_PtCloates_stereo-BRUVS_53,Carangidae Carangoides chrysophrys,13,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,53,-22.6839,113.5636,20220526,8:29:10,NA,NA,NA,78.2,Kaitlin McCloghry,Yes,Yes,BRUV
69,2022-05_PtCloates_stereo-BRUVS_13,Carangidae Carangoides chrysophrys,6,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,13,-22.6872,113.5606,20220526,8:42:37,NA,NA,NA,82.1,Kaitlin McCloghry,Yes,Yes,BRUV
88,2022-05_PtCloates_stereo-BRUVS_37,Carangidae Carangoides chrysophrys,5,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,37,-22.7475,113.5445,20220520,12:23:05,NA,NA,NA,81.3,Kaitlin McCloghry,Yes,Yes,BRUV
58,2021-05_PtCloates_BRUVS_12,Carangidae Carangoides chrysophrys,4,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,12,-22.7262,113.5214,20210518,12:48:00,Point Cloates,No-take,inNP.12,126,Charlotte Aston,Yes,Yes,BRUV
60,2021-05_PtCloates_BRUVS_15,Carangidae Carangoides chrysophrys,4,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,15,-22.7461,113.5138,20210518,12:40:00,Point Cloates,Fished,outNP.3,130,Charlotte Aston,Yes,Yes,BRUV
100,2022-05_PtCloates_stereo-BRUVS_56,Carangidae Carangoides chrysophrys,4,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,56,-22.7534,113.5302,20220520,10:09:08,NA,NA,NA,99.8,Kaitlin McCloghry,Yes,Yes,BRUV
