"name","scaledubiquitybruv","n_BRUV","indi_BRUV","scaledubiquityboss","n_BOSS","indi_BOSS","armean"
"Parupeneus heptacanthus",0.128571428571429,9,42,0,0,NA,2.75717496871948
"Parupeneus spilurus",0.0142857142857143,1,1,-0.032258064516129,1,2,1.81445002555847
"Pentapodus nagasakiensis",0.428571428571429,30,129,-0.258064516129032,8,14,1.78991001844406
"Pentapodus vitta",0.0285714285714286,2,3,0,0,NA,2.81000995635986
"Platax batavianus",0.0142857142857143,1,1,0,0,NA,3.08439993858337
"Pomacanthus imperator",0.0142857142857143,1,1,0,0,NA,1.70514506101608
"Pomacanthus semicirculatus",0.0857142857142857,6,8,-0.0967741935483871,3,3,1.98792999982834
"Priacanthus hamrur",0,0,NA,-0.032258064516129,1,1,2.90633988380432
"Pristipomoides multidens",0.0714285714285714,5,16,0,0,NA,2.50803995132446
"Pristipomoides sp1",0.728571428571429,51,250,-0.0967741935483871,3,10,3.34
"Pseudanthias fasciata",0.0142857142857143,1,14,0,0,NA,2.01431506872177
"Pseudanthias fasciatus",0,0,NA,-0.0645161290322581,2,7,2.01431506872177
"Pseudobalistes flavimarginatus",0.0142857142857143,1,1,0,0,NA,1.74495494365692
"Pseudobalistes fuscus",0.0285714285714286,2,2,0,0,NA,1.51056003570557
"Ptereleotris heteroptera",0,0,NA,-0.032258064516129,1,2,0.82321298122406
"Pterocaesio chrysozona",0,0,NA,-0.032258064516129,1,2,2.54377007484436
"Pterois antennata",0.0142857142857143,1,1,0,0,NA,0.845048010349274
"Sargocentron rubrum",0,0,NA,-0.032258064516129,1,27,2.43589997291565
"Saurida undosquamis",0.0285714285714286,2,2,0,0,NA,2.57921504974365
"Scarus ghobban",0.0285714285714286,2,2,0,0,NA,1.7747700214386
"Scomberomorus commerson",0.0142857142857143,1,1,0,0,NA,3.12958991527557
"Seriola sp1",0.214285714285714,15,22,0,0,NA,3.29
"Seriolina nigrofasciata",0.0571428571428571,4,4,0,0,NA,1.97291004657745
"Sphyraena forsteri",0.0142857142857143,1,1,0,0,NA,2.81103992462158
"Sphyraena jello",0.0142857142857143,1,1,0,0,NA,2.55354499816895
"Sphyraena qenie",0.0142857142857143,1,4,0,0,NA,2.5617299079895
"Sphyrna mokarran",0.0142857142857143,1,1,0,0,NA,1.85353004932404
"Stegostoma fasciatum",0.0142857142857143,1,1,0,0,NA,0.460302501916885
"Suezichthys cyanolaemus",0.0857142857142857,6,8,-0.032258064516129,1,1,1.46160995960236
"Sufflamen fraenatum",0.2,14,18,-0.0645161290322581,2,2,2.35166001319885
"Upeneus moluccensis",0.0285714285714286,2,13,0,0,NA,1.97925996780396
"Variola louti",0.0714285714285714,5,7,0,0,NA,2.09291005134583
"Xanthichthys lineopunctatus",0.0285714285714286,2,3,-0.129032258064516,4,4,1.94707000255585
