sample,scientific,maxn,family,genus,species,campaignid,latitude,longitude,date.time,location,status,depth,successful.count,successful.length,id
47,Chaetodontidae Chaetodon assarius,0,Chaetodontidae,Chaetodon,assarius,2021-05_PtCloates_BOSS,-22.7637,113.4839,19/05/2021 5:28,Point Cloates,Fished,190,Yes,Yes,2021-05_PtCloates_BOSS.47
48,Chaetodontidae Chaetodon assarius,0,Chaetodontidae,Chaetodon,assarius,2021-05_PtCloates_BOSS,-22.7712,113.4688,19/05/2021 5:44,Point Cloates,Fished,208,Yes,Yes,2021-05_PtCloates_BOSS.48
49,Chaetodontidae Chaetodon assarius,0,Chaetodontidae,Chaetodon,assarius,2021-05_PtCloates_BOSS,-22.7986,113.4864,19/05/2021 7:28,Point Cloates,Fished,148,Yes,Yes,2021-05_PtCloates_BOSS.49
50,Chaetodontidae Chaetodon assarius,0,Chaetodontidae,Chaetodon,assarius,2021-05_PtCloates_BOSS,-22.7026,113.556,20/05/2021 4:11,Point Cloates,No-take,77.6,Yes,Yes,2021-05_PtCloates_BOSS.50
7,Chaetodontidae Chaetodon assarius,0,Chaetodontidae,Chaetodon,assarius,2021-05_PtCloates_BOSS,-22.7462,113.5314,20/05/2021 0:33,Point Cloates,No-take,99.6,Yes,Yes,2021-05_PtCloates_BOSS.7
9,Chaetodontidae Chaetodon assarius,0,Chaetodontidae,Chaetodon,assarius,2021-05_PtCloates_BOSS,-22.6937,113.5389,20/05/2021 4:21,Point Cloates,No-take,114,Yes,Yes,2021-05_PtCloates_BOSS.9
M1,Chaetodontidae Chaetodon assarius,0,Chaetodontidae,Chaetodon,assarius,2021-05_PtCloates_BOSS,-22.7228,113.4986,20/05/2021 1:38,Point Cloates,Fished,197,Yes,Yes,2021-05_PtCloates_BOSS.M1
1,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.6886,113.5539,20/05/2021 5:03,Point Cloates,No-take,93.6,Yes,Yes,2021-05_PtCloates_BOSS.1
10,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.6887,113.5238,20/05/2021 4:02,Point Cloates,No-take,176,Yes,Yes,2021-05_PtCloates_BOSS.10
12,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7137,113.5364,20/05/2021 2:49,Point Cloates,No-take,107,Yes,Yes,2021-05_PtCloates_BOSS.12
13,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7037,113.5389,20/05/2021 3:16,Point Cloates,No-take,107,Yes,Yes,2021-05_PtCloates_BOSS.13
15,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7037,113.5188,20/05/2021 3:33,Point Cloates,No-take,168,Yes,Yes,2021-05_PtCloates_BOSS.15
18,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.6838,113.5489,20/05/2021 5:14,Point Cloates,No-take,102,Yes,Yes,2021-05_PtCloates_BOSS.18
19,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7314,113.5313,20/05/2021 0:09,Point Cloates,No-take,106,Yes,Yes,2021-05_PtCloates_BOSS.19
2,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.6987,113.5214,20/05/2021 3:47,Point Cloates,No-take,167,Yes,Yes,2021-05_PtCloates_BOSS.2
20,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7187,113.5265,20/05/2021 2:35,Point Cloates,No-take,120,Yes,Yes,2021-05_PtCloates_BOSS.20
201,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7488,113.5378,19/05/2022 3:50,Point Cloates,No-take,94.9,Yes,Yes,2022-05_PtCloates_Naked-BOSS.201
202,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6851,113.5571,27/05/2022 1:03,Point Cloates,No-take,91.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.202
203,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7548,113.55,19/05/2022 1:44,Point Cloates,No-take,75.7,Yes,Yes,2022-05_PtCloates_Naked-BOSS.203
204,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6911,113.5576,26/05/2022 7:07,Point Cloates,No-take,85.8,Yes,Yes,2022-05_PtCloates_Naked-BOSS.204
205,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7321,113.5508,23/05/2022 1:04,Point Cloates,No-take,80.6,Yes,No,2022-05_PtCloates_Naked-BOSS.205
206,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7019,113.5608,25/05/2022 8:07,Point Cloates,No-take,76.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.206
207,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7523,113.5552,19/05/2022 2:00,Point Cloates,No-take,71.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.207
208,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7252,113.5464,25/05/2022 4:23,Point Cloates,No-take,89.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.208
209,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7402,113.5521,21/05/2022 7:13,Point Cloates,No-take,76.7,Yes,Yes,2022-05_PtCloates_Naked-BOSS.209
21,Chaetodontidae Heniochus acuminatus,2,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.6963,113.544,20/05/2021 4:33,Point Cloates,No-take,103,Yes,Yes,2021-05_PtCloates_BOSS.21
210,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.686,113.5589,27/05/2022 0:51,Point Cloates,No-take,87.7,Yes,Yes,2022-05_PtCloates_Naked-BOSS.210
211,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7554,113.54,19/05/2022 1:11,Point Cloates,No-take,87.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.211
212,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.728,113.556,23/05/2022 3:00,Point Cloates,No-take,75,Yes,Yes,2022-05_PtCloates_Naked-BOSS.212
213,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6919,113.5534,26/05/2022 6:52,Point Cloates,No-take,93.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.213
214,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.733,113.5497,23/05/2022 1:52,Point Cloates,No-take,81.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.214
215,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.712,113.5562,25/05/2022 6:19,Point Cloates,No-take,79.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.215
216,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7451,113.5437,21/05/2022 6:12,Point Cloates,No-take,86.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.216
217,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7179,113.5593,25/05/2022 5:28,Point Cloates,No-take,73.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.217
218,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.726,113.5411,25/05/2022 3:55,Point Cloates,No-take,97.7,Yes,Yes,2022-05_PtCloates_Naked-BOSS.218
219,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7317,113.543,21/05/2022 8:11,Point Cloates,No-take,90.7,Yes,Yes,2022-05_PtCloates_Naked-BOSS.219
22,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7438,113.5337,20/05/2021 0:23,Point Cloates,No-take,96.4,Yes,Yes,2021-05_PtCloates_BOSS.22
220,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7067,113.5554,25/05/2022 7:00,Point Cloates,No-take,80.8,Yes,Yes,2022-05_PtCloates_Naked-BOSS.220
221,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7519,113.5483,19/05/2022 2:12,Point Cloates,No-take,78.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.221
222,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6884,113.561,26/05/2022 7:37,Point Cloates,No-take,78.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.222
223,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7188,113.5517,25/05/2022 5:41,Point Cloates,No-take,80.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.223
224,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7598,113.5487,19/05/2022 0:44,Point Cloates,No-take,76.1,Yes,Yes,2022-05_PtCloates_Naked-BOSS.224
225,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7084,113.5624,25/05/2022 6:33,Point Cloates,No-take,72.1,Yes,Yes,2022-05_PtCloates_Naked-BOSS.225
226,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7536,113.5408,19/05/2022 1:30,Point Cloates,No-take,86.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.226
227,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7262,113.5569,23/05/2022 3:15,Point Cloates,No-take,74.3,No,No,2022-05_PtCloates_Naked-BOSS.227
228,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7233,113.5472,25/05/2022 5:01,Point Cloates,No-take,88,Yes,Yes,2022-05_PtCloates_Naked-BOSS.228
229,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6961,113.5632,26/05/2022 5:54,Point Cloates,No-take,76.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.229
230,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7341,113.5543,23/05/2022 0:31,Point Cloates,No-take,76.9,Yes,No,2022-05_PtCloates_Naked-BOSS.230
231,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7464,113.5529,21/05/2022 6:43,Point Cloates,No-take,73.9,Yes,Yes,2022-05_PtCloates_Naked-BOSS.231
232,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7576,113.5368,19/05/2022 0:59,Point Cloates,No-take,90.9,Yes,Yes,2022-05_PtCloates_Naked-BOSS.232
233,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7305,113.5526,23/05/2022 2:25,Point Cloates,No-take,76.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.233
234,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6938,113.5563,26/05/2022 6:39,Point Cloates,No-take,85.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.234
235,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7275,113.5434,25/05/2022 3:43,Point Cloates,No-take,93,Yes,Yes,2022-05_PtCloates_Naked-BOSS.235
236,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.717,113.5499,25/05/2022 6:07,Point Cloates,No-take,86.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.236
237,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7502,113.5462,19/05/2022 4:02,Point Cloates,No-take,81.8,Yes,Yes,2022-05_PtCloates_Naked-BOSS.237
238,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6864,113.5594,27/05/2022 0:35,Point Cloates,No-take,85.9,Yes,Yes,2022-05_PtCloates_Naked-BOSS.238
239,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6885,113.5564,26/05/2022 8:04,Point Cloates,No-take,90.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.239
24,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7113,113.5088,20/05/2021 2:14,Point Cloates,No-take,189,Yes,Yes,2021-05_PtCloates_BOSS.24
240,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.749,113.5509,19/05/2022 4:18,Point Cloates,No-take,75,Yes,Yes,2022-05_PtCloates_Naked-BOSS.240
241,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7403,113.5387,21/05/2022 7:31,Point Cloates,No-take,94.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.241
242,Chaetodontidae Heniochus acuminatus,2,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7009,113.5519,25/05/2022 7:53,Point Cloates,No-take,88.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.242
243,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7206,113.5573,25/05/2022 5:14,Point Cloates,No-take,74.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.243
244,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7347,113.5406,21/05/2022 7:59,Point Cloates,No-take,93,Yes,Yes,2022-05_PtCloates_Naked-BOSS.244
245,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7436,113.5519,21/05/2022 6:57,Point Cloates,No-take,75.8,Yes,Yes,2022-05_PtCloates_Naked-BOSS.245
246,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6891,113.5588,26/05/2022 7:52,Point Cloates,No-take,84.3,Yes,Yes,2022-05_PtCloates_Naked-BOSS.246
247,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7047,113.5467,25/05/2022 7:26,Point Cloates,No-take,96.4,Yes,No,2022-05_PtCloates_Naked-BOSS.247
248,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7609,113.5473,19/05/2022 0:27,Point Cloates,No-take,76.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.248
249,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7248,113.5444,25/05/2022 4:07,Point Cloates,No-take,92.3,Yes,Yes,2022-05_PtCloates_Naked-BOSS.249
25,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7262,113.4913,20/05/2021 1:21,Point Cloates,Fished,208,Yes,Yes,2021-05_PtCloates_BOSS.25
250,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6972,113.5605,26/05/2022 6:06,Point Cloates,No-take,78.1,Yes,Yes,2022-05_PtCloates_Naked-BOSS.250
251,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7277,113.554,23/05/2022 2:37,Point Cloates,No-take,76.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.251
252,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7054,113.5576,25/05/2022 6:49,Point Cloates,No-take,79.3,Yes,Yes,2022-05_PtCloates_Naked-BOSS.252
253,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7509,113.538,19/05/2022 3:26,Point Cloates,No-take,91.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.253
254,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6993,113.5499,25/05/2022 7:40,Point Cloates,No-take,96,Yes,Yes,2022-05_PtCloates_Naked-BOSS.254
255,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7444,113.5428,21/05/2022 5:59,Point Cloates,No-take,87.3,Yes,Yes,2022-05_PtCloates_Naked-BOSS.255
256,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7326,113.5465,23/05/2022 2:09,Point Cloates,No-take,86.1,Yes,Yes,2022-05_PtCloates_Naked-BOSS.256
257,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7001,113.5592,25/05/2022 8:18,Point Cloates,No-take,79.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.257
258,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6958,113.5593,26/05/2022 6:20,Point Cloates,No-take,79.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.258
259,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7312,113.5443,21/05/2022 8:24,Point Cloates,No-take,88.9,Yes,Yes,2022-05_PtCloates_Naked-BOSS.259
26,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7388,113.5089,20/05/2021 1:03,Point Cloates,Fished,152,Yes,Yes,2021-05_PtCloates_BOSS.26
260,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7177,113.5525,25/05/2022 5:53,Point Cloates,No-take,83.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.260
261,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6899,113.5608,26/05/2022 7:21,Point Cloates,No-take,78.8,Yes,Yes,2022-05_PtCloates_Naked-BOSS.261
262,Chaetodontidae Heniochus acuminatus,1,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7635,113.5347,19/05/2022 2:45,Point Cloates,No-take,91,Yes,Yes,2022-05_PtCloates_Naked-BOSS.262
263,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.684,113.5635,27/05/2022 1:17,Point Cloates,No-take,77.7,Yes,Yes,2022-05_PtCloates_Naked-BOSS.263
264,Chaetodontidae Heniochus acuminatus,1,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7655,113.5389,19/05/2022 2:34,Point Cloates,No-take,81.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.264
265,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7561,113.529,19/05/2022 2:58,Point Cloates,No-take,99.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.265
266,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7531,113.5301,19/05/2022 3:11,Point Cloates,No-take,98.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.266
267,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6751,113.5615,27/05/2022 2:02,Point Cloates,No-take,88.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.267
268,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7054,113.5501,25/05/2022 7:12,Point Cloates,No-take,90.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.268
269,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7429,113.5458,21/05/2022 6:27,Point Cloates,No-take,83.1,Yes,Yes,2022-05_PtCloates_Naked-BOSS.269
27,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7635,113.4964,19/05/2021 5:00,Point Cloates,Fished,162,Yes,Yes,2021-05_PtCloates_BOSS.27
270,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7511,113.5387,19/05/2022 3:37,Point Cloates,No-take,91,Yes,Yes,2022-05_PtCloates_Naked-BOSS.270
271,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6776,113.5654,27/05/2022 1:32,Point Cloates,No-take,79.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.271
272,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7374,113.5422,21/05/2022 7:45,Point Cloates,No-take,89.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.272
273,Chaetodontidae Heniochus acuminatus,3,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.6741,113.5665,27/05/2022 1:48,Point Cloates,No-take,77.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.273
274,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2022-05_PtCloates_Naked-BOSS,-22.7343,113.5502,23/05/2022 0:50,Point Cloates,No-take,79.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.274
28,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7585,113.4762,19/05/2021 3:26,Point Cloates,Fished,206,Yes,Yes,2021-05_PtCloates_BOSS.28
29,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7758,113.494,19/05/2021 6:05,Point Cloates,Fished,152,Yes,Yes,2021-05_PtCloates_BOSS.29
30,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7887,113.4839,19/05/2021 6:46,Point Cloates,Fished,169,Yes,Yes,2021-05_PtCloates_BOSS.30
31,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7936,113.5041,19/05/2021 7:43,Point Cloates,Fished,116,Yes,Yes,2021-05_PtCloates_BOSS.31
32,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7537,113.4863,19/05/2021 3:44,Point Cloates,Fished,194,Yes,Yes,2021-05_PtCloates_BOSS.32
33,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7163,113.4963,20/05/2021 1:54,Point Cloates,Fished,207,Yes,Yes,2021-05_PtCloates_BOSS.33
34,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7662,113.4889,19/05/2021 5:14,Point Cloates,Fished,179,Yes,Yes,2021-05_PtCloates_BOSS.34
36,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7564,113.4711,19/05/2021 3:08,Point Cloates,Fished,215,Yes,Yes,2021-05_PtCloates_BOSS.36
37,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7836,113.4886,19/05/2021 6:32,Point Cloates,Fished,156,Yes,Yes,2021-05_PtCloates_BOSS.37
39,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7938,113.4843,19/05/2021 7:14,Point Cloates,Fished,156,Yes,Yes,2021-05_PtCloates_BOSS.39
4,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7113,113.5415,20/05/2021 3:01,Point Cloates,No-take,100,Yes,Yes,2021-05_PtCloates_BOSS.4
40,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7809,113.4964,19/05/2021 6:17,Point Cloates,Fished,138,Yes,Yes,2021-05_PtCloates_BOSS.40
42,Chaetodontidae Heniochus acuminatus,0,Chaetodontidae,Heniochus,acuminatus,2021-05_PtCloates_BOSS,-22.7887,113.4764,19/05/2021 7:00,Point Cloates,Fished,184,Yes,Yes,2021-05_PtCloates_BOSS.42
