"","z","reef","tpi","aspect","roughness","detrended"
"Labridae Coris auricularis_BRUV",1,0,0.676,0.5,0,0
"Labridae Ophthalmolepis lineolatus_BRUV",1,0,1,1,0,0
"Labridae Pseudolabrus biserialis_BRUV",1,0,0.246,0.5,0,0
"Scorpididae Neatypus obliquus_BRUV",1.001,0,0.997,0.5,0,0
"Labridae Coris auricularis_BOSS",0.905,0,0.525,0.943,0.095,0
"Labridae Ophthalmolepis lineolatus_BOSS",0,0,1,1,0,1
"Labridae Pseudolabrus biserialis_BOSS",1,0,0.266,0.45,0,0
"Scorpididae Neatypus obliquus_BOSS",0.002,0.17,0.947,0.821,0.006,0.82
