"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Pteroidae","Pterois","antennata",148.63874,2135.11633,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Triakidae","Hemitriakis","falcata",680.23374,1169.87972,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.1","2021-05_PtCloates_BRUVS",1,"Triakidae","Hemitriakis","falcata",683.0294,3570.45784,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"Charlotte Aston/Henry Evans","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Nemipteridae","Nemipterus","spp",124.04252,1978.73845,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",128.12835,1821.03539,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",136.76908,1316.41086,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",128.57012,1797.62334,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",131.66761,2076.2946,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",131.78178,1837.0054,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",132.34629,2312.30299,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",133.72967,905.68671,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",123.19967,1155.61797,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",148.25355,1455.65772,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",132.74402,1276.9054,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",156.24833,1481.38001,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",138.48558,2564.84852,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",151.88351,3073.87233,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",169.49713,1771.24054,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",138.0196,1972.25999,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",135.64914,1831.73134,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",140.81709,1492.12506,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",145.90938,929.72895,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",171.51717,1826.73538,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",135.31869,1585.71928,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",112.71232,2062.0106,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",165.03488,2642.40442,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",162.16576,1831.28584,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",143.09594,2078.1415,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",122.07974,2519.44128,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.10","2021-05_PtCloates_BRUVS",10,"Sparidae","Dentex","spp",162.34819,1841.7707,-22.6734,113.524,20210518,15:27:00,"Point Cloates","No-take","inNP.10",197,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Apogonidae","Unknown","spp",120.08026,1169.94144,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Carangidae","Decapterus","spp",281.20158,3827.42042,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Carangidae","Decapterus","spp",259.27156,4275.47429,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS.11","2021-05_PtCloates_BRUVS",11,"Carangidae","Decapterus","spp",273.38496,4120.08547,-22.6761,113.5387,20210518,15:20:00,"Point Cloates","No-take","inNP.11",139,"Charlotte Aston","Yes","Yes"
