"unique_id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carangidae","Seriola","sp1",677.34858,1,4651.69291,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carangidae","Seriola","sp1",675.92878,1,3326.73324,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carangidae","Seriola","sp1",793.07401,1,4870.63448,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carangidae","Seriola","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carangidae","Seriolina","nigrofasciata",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carangidae","Unknown","sp10",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carangidae","Unknown","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carcharhinidae","Carcharhinus","macloti",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carcharhinidae","Carcharhinus","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carcharhinidae","Loxodon","macrorhinus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Carcharhinidae","Unknown","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Chaetodontidae","Chaetodon","assarius",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Chaetodontidae","Heniochus","acuminatus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Cirrhitidae","Cirrhitichthys","aprinus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Cirrhitidae","Cyprinocirrhites","polyactis",30.96033,1,1133.41802,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Cirrhitidae","Paracirrhites","forsteri",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Dasyatidae","Taeniurops","meyeni",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Echeneidae","Echeneis","naucrates",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Ephippidae","Platax","batavianus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Fistulariidae","Fistularia","commersonii",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Gobiidae","Unknown","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Haemulidae","Diagramma","pictum",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Bodianus","izuensis",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Bodianus","solatus",262.18374,1,3115.1031,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Choerodon","albofaciatus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Choerodon","zamboangae",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Coris","caudimacula",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Diproctacanthus","xanthurus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Oxycheilinus","orientalis",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Suezichthys","cyanolaemus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Labridae","Unknown","na",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
