"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id"
"1","Lutjanidae","Lutjanus","lemniscatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Lutjanidae","Lutjanus","sebae",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Microdesmidae","Ptereleotris","heteroptera",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Mullidae","Parupeneus","cyclostomus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Mullidae","Parupeneus","spilurus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Nemipteridae","Pentapodus","nagasakiensis",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Pomacanthidae","Pomacanthus","semicirculatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Pomacentridae","Amblypomacentrus","breviceps",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Priacanthidae","Priacanthus","hamrur",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Serranidae","Cephalopholis","sonnerati",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Serranidae","Epinephelus","areolatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Serranidae","Epinephelus","multinotatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"1","Serranidae","Pseudanthias","georgei",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6886,113.5539,2021-05-20 05:03:00,"Point Cloates","No-take",93.6,"Yes","Yes","2021-05_PtCloates_BOSS.1"
"10","Apogonidae","Ostorhinchus","aureus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Balistidae","Sufflamen","fraenatum",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
