"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2022-05_PtCloates_stereo-BRUVS",18,-22.7101,113.5492,20220522,"10:29:53",NA,"No-take",NA,91.5,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",19,-22.6847,113.5669,20220526,"8:33:41",NA,"No-take",NA,76.4,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",20,-22.7212,113.5561,20220522,"8:44:53",NA,"No-take",NA,76,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",21,-22.6893,113.5652,20220522,"14:43:14",NA,"No-take",NA,77.3,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",22,-22.7072,113.5554,20220522,"10:42:04",NA,"No-take",NA,81.3,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",23,-22.734,113.542,20220520,"14:15:28",NA,"No-take",NA,91.4,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",24,-22.7426,113.5507,20220520,"12:42:58",NA,"No-take",NA,79.3,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",25,-22.7053,113.5466,20220522,"12:34:21",NA,"No-take",NA,99.5,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",26,-22.7615,113.5484,20220520,"9:08:31",NA,"No-take",NA,77.2,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",27,-22.7254,113.5459,20220522,"8:31:16",NA,"No-take",NA,90.4,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",28,-22.6987,113.5625,20220522,"13:05:17",NA,"No-take",NA,76.3,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",29,-22.691,113.5564,20220522,"14:54:59",NA,"No-take",NA,87.9,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",30,-22.7058,113.5588,20220522,"10:47:54",NA,"No-take",NA,78.5,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",31,-22.7542,113.5424,20220520,"10:27:48",NA,"No-take",NA,82.3,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",32,-22.7239,113.5552,20220522,"8:39:35",NA,"No-take",NA,78.3,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",33,-22.719,113.549,20220522,"10:09:30",NA,"No-take",NA,85.4,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",34,-22.6928,113.5645,20220522,"14:38:27",NA,"No-take",NA,76.4,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",35,-22.6987,113.551,20220522,"12:46:10",NA,"No-take",NA,94.6,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",36,-22.7318,113.5477,20220520,"14:25:23",NA,"No-take",NA,83.2,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",37,-22.7475,113.5445,20220520,"12:23:05",NA,"No-take",NA,81.3,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",38,-22.6868,113.5642,20220526,"8:38:39",NA,"No-take",NA,78.6,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",39,-22.7105,113.5539,20220522,"10:35:24",NA,"No-take",NA,78.9,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",40,-22.7522,113.5444,20220520,"11:58:07",NA,"No-take",NA,84.1,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",41,-22.7154,113.5479,20220522,"10:21:59",NA,"No-take",NA,89.7,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",42,-22.6952,113.5537,20220522,"12:51:14",NA,"No-take",NA,92.3,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",43,-22.7328,113.5589,20220522,"8:03:30",NA,"No-take",NA,70.6,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",44,-22.7482,113.549,20220520,"12:17:32",NA,"No-take",NA,79.4,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",45,-22.7602,113.5432,20220520,"9:23:19",NA,"No-take",NA,81.8,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",46,-22.693,113.5605,20220522,"14:30:54",NA,"No-take",NA,79.5,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",47,-22.6999,113.5592,20220522,"12:59:50",NA,"No-take",NA,80.8,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",48,-22.696,113.5596,20220522,"14:21:46",NA,"No-take",NA,80.2,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",49,-22.7309,113.5443,20220520,"14:20:55",NA,"No-take",NA,89.5,NA,"No","No"
"2022-05_PtCloates_stereo-BRUVS",50,-22.7173,113.5528,20220522,"10:14:30",NA,"No-take",NA,81.9,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",51,-22.69,113.5609,20220522,"14:49:13",NA,"No-take",NA,79.4,NA,"Yes","Yes"
"2022-05_PtCloates_stereo-BRUVS",52,-22.7635,113.5348,20220520,"8:50:37",NA,"No-take",NA,91,NA,"Yes","Yes"
