"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",355.40568,1,2898.91655
"2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",475.48892,1,4600.03601
"2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",352.04994,1,1963.10496
"2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",492.83844,1,2101.53505
"2021-05_PtCloates_BRUVS",11,"Lutjanidae","Pristipomoides","sp1",514.22361,1,2334.36768
"2021-05_PtCloates_BRUVS",11,"Muraenidae","Gymnothorax","javanicus",588.40768,1,1831.18585
"2021-05_PtCloates_BRUVS",11,"Triakidae","Hemitriakis","falcata",782.82022,1,2137.80303
"2021-05_PtCloates_BRUVS",12,"Sphyraenidae","Sphyraena","spp",496.00244,1,5464.28614
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",497.37536,1,2529.50292
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",298.18065,1,2898.13311
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",351.86547,1,1573.53821
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",338.44702,1,1148.45793
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",358.66321,1,1935.53884
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Pristipomoides","sp1",354.19525,1,1769.172
"2021-05_PtCloates_BRUVS",12,"Echeneidae","Echeneis","naucrates",122.96202,1,1993.97353
"2021-05_PtCloates_BRUVS",12,"Carangidae","Seriola","sp1",527.89604,1,3692.59898
"2021-05_PtCloates_BRUVS",12,"Carangidae","Seriola","sp1",543.95756,1,4997.49064
"2021-05_PtCloates_BRUVS",12,"Serranidae","Epinephelus","multinotatus",774.00454,1,3012.26933
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Lethrinus","miniatus",403.26972,1,1335.73481
"2021-05_PtCloates_BRUVS",12,"Lutjanidae","Lutjanus","sebae",470.97851,1,1507.02881
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Lethrinus","miniatus",395.46654,1,1091.78366
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Lethrinus","miniatus",446.7967,1,1156.75792
"2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",307.2125,1,3329.73987
"2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",467.91219,1,3205.48087
"2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",385.37744,1,2356.13766
"2021-05_PtCloates_BRUVS",12,"Carangidae","Carangoides","chrysophrys",430.2053,1,2522.36099
"2021-05_PtCloates_BRUVS",12,"Lethrinidae","Gymnocranius","sp1",334.33315,1,1672.11773
