"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length","id"
12,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7262,113.5214,20210518,12:48:00,"Point Cloates","No-take","inNP.12",126,"Charlotte Aston","Yes","Yes","2021-05_PtCloates_BRUVS.12"
12,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7505,113.5476,20220520,12:11:27,"NA","NA","NA",80.5,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.12"
13,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7963,113.5041,20210518,12:08:00,"Point Cloates","Fished","outNP.1",116,"Charlotte Aston","Yes","Yes","2021-05_PtCloates_BRUVS.13"
13,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6872,113.5606,20220526,08:42:37,"NA","NA","NA",82.1,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.13"
14,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7413,113.4991,20210519,08:48:00,"Point Cloates","Fished","outNP.2",179,"Gabby Cummins","Yes","Yes","2021-05_PtCloates_BRUVS.14"
14,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6876,113.5568,20220526,08:48:10,"NA","NA","NA",90.5,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.14"
15,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7461,113.5138,20210518,12:40:00,"Point Cloates","Fished","outNP.3",130,"Charlotte Aston","Yes","Yes","2021-05_PtCloates_BRUVS.15"
15,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6977,113.5561,20220522,12:55:29,"NA","NA","NA",83.9,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.15"
16,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7812,113.5115,20210518,12:24:00,"Point Cloates","Fished","outNP.4",111,"Gabby Cummins","Yes","No","2021-05_PtCloates_BRUVS.16"
16,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7406,113.5395,20220520,14:06:11,"NA","NA","NA",93.2,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.16"
17,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7757,113.5195,20210518,12:28:00,"Point Cloates","Fished","outNP.5",104,"Charlotte Aston","Yes","Yes","2021-05_PtCloates_BRUVS.17"
17,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7011,113.5532,20220522,12:45:32,"NA","NA","NA",86.5,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.17"
18,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7311,113.4913,20210519,08:40:00,"Point Cloates","Fished","outNP.6",204,"Gabby Cummins","Yes","Yes","2021-05_PtCloates_BRUVS.18"
18,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7101,113.5492,20220522,10:29:53,"NA","NA","NA",91.5,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.18"
19,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7437,113.484,20210519,08:53:00,"Point Cloates","Fished","outNP.7",206,"Gabby Cummins","Yes","NA","2021-05_PtCloates_BRUVS.19"
19,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6847,113.5669,20220526,08:33:41,"NA","NA","NA",76.4,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.19"
20,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7212,113.5561,20220522,08:44:53,"NA","NA","NA",76,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.20"
21,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7563,113.5189,20210518,12:36:00,"Point Cloates","Fished","outNP.9",112,"Gabby Cummins","Yes","Yes","2021-05_PtCloates_BRUVS.21"
21,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6893,113.5652,20220522,14:43:14,"NA","NA","NA",77.3,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.21"
22,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7812,113.4964,20210518,12:19:00,"Point Cloates","Fished","outNP.10",138,"Charlotte Aston","Yes","Yes","2021-05_PtCloates_BRUVS.22"
22,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7072,113.5554,20220522,10:42:04,"NA","NA","NA",81.3,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.22"
23,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2021-05_PtCloates_BRUVS",-22.7362,113.4887,20210519,08:42:00,"Point Cloates","Fished","outNP.11",204,"Gabby Cummins","Yes","Yes","2021-05_PtCloates_BRUVS.23"
