"campaignid","family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Caranx","ignobilis",3.772,3.772,3.772,56.11,56.11,56.11
"2022-05_PtCloates_stereo-BRUVS","Serranidae","Variola","louti",3.363,5.445,0.655,28.78,46.02,57.11
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Caranx","lugubris",3.119,3.119,3.119,62.2,62.2,62.2
"2022-05_PtCloates_stereo-BRUVS","Acanthuridae","Naso","fageni",2.997,8.595,0.946,31.2,45.09,65.11
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Carangoides","fulvoguttatus",2.94,22.111,0.169,20.96,49.66,118.95
"2021-05_PtCloates_BRUVS","Acanthuridae","Naso","fageni",2.834,5.077,1.571,36.95,44.55,54.63
"2021-05_PtCloates_BRUVS","Triakidae","Mustelus","stevensi",2.728,2.728,2.728,80.91,80.91,80.91
"2022-05_PtCloates_stereo-BRUVS","Triakidae","Mustelus","stevensi",2.728,2.728,2.728,80.91,80.91,80.91
"2021-05_PtCloates_BRUVS","Lutjanidae","Pristipomoides","multidens",2.693,4.427,1.29,39.53,49.87,60.24
"2022-05_PtCloates_stereo-BRUVS","Lutjanidae","Pristipomoides","multidens",2.536,4.427,1.29,39.53,48.9,60.24
"2022-05_PtCloates_stereo-BRUVS","Monacanthidae","Aluterus","monoceros",2.527,2.527,2.527,56.66,56.66,56.66
"2022-05_PtCloates_stereo-BRUVS","Scaridae","Scarus","ghobban",2.517,4.164,0.87,32.56,43.76,54.97
"2021-05_PtCloates_BRUVS","Carangidae","Carangoides","fulvoguttatus",2.475,22.111,0.169,20.96,43.17,118.95
"2022-05_PtCloates_stereo-BRUVS","Lethrinidae","Lethrinus","nebulosus",2.347,3.73,1.367,42.01,49.94,58.72
"2021-05_PtCloates_BRUVS","Lethrinidae","Lethrinus","nebulosus",2.332,3.519,1.367,42.01,49.7,57.6
"2022-05_PtCloates_stereo-BRUVS","Haemulidae","Diagramma","pictum",2.263,2.886,0.785,35.92,50.33,56.02
"2021-05_PtCloates_BRUVS","Tetraodontidae","Lagocephalus","sceleratus",2.204,2.204,2.204,54.72,54.72,54.72
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Unknown","spp",2.019,2.858,1.106,40.62,49.23,56.05
"2022-05_PtCloates_stereo-BRUVS","Lutjanidae","Lutjanus","lemniscatus",1.991,1.991,1.991,51.23,51.23,51.23
"2021-05_PtCloates_BRUVS","Fistulariidae","Fistularia","commersonii",1.963,1.963,1.963,116,116,116
"2022-05_PtCloates_stereo-BRUVS","Balistidae","Pseudobalistes","fuscus",1.963,2.082,1.844,39.44,40.33,41.21
"2021-05_PtCloates_BRUVS","Triakidae","Mustelus","ravidus",1.952,3.62,0.79,55.73,71.13,90.2
"2022-05_PtCloates_stereo-BRUVS","Triakidae","Mustelus","ravidus",1.952,3.62,0.79,55.73,71.13,90.2
"2021-05_PtCloates_BRUVS","Triakidae","Hemitriakis","falcata",1.94,2.649,1.255,61.37,70.21,78.28
"2022-05_PtCloates_stereo-BRUVS","Triakidae","Hemitriakis","falcata",1.94,2.649,1.255,61.37,70.21,78.28
"2022-05_PtCloates_stereo-BRUVS","Tetraodontidae","Lagocephalus","sceleratus",1.901,2.204,1.599,49.04,51.88,54.72
"2021-05_PtCloates_BRUVS","Balistidae","Pseudobalistes","fuscus",1.844,1.844,1.844,39.44,39.44,39.44
"2021-05_PtCloates_BRUVS","Haemulidae","Diagramma","pictum",1.816,2.848,0.785,35.92,45.84,55.77
"2022-05_PtCloates_stereo-BRUVS","Lethrinidae","Lethrinus","miniatus",1.806,11.602,0.684,33.98,44.84,80.63
"2021-05_PtCloates_BRUVS","Lethrinidae","Lethrinus","miniatus",1.75,4.021,0.684,33.98,44.63,58.35
"2021-05_PtCloates_BRUVS","Carangidae","Unknown","spp",1.739,2.063,1.106,40.62,46.95,50.18
"2021-05_PtCloates_BRUVS","Carangidae","Platycaranx","chrysophrys",1.719,4.298,0.485,30.72,45.84,64.36
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Platycaranx","chrysophrys",1.719,4.298,0.485,30.72,45.84,64.36
"2021-05_PtCloates_BRUVS","Lethrinidae","Gymnocranius","euanus",1.659,2.348,0.776,32.44,41.57,47.17
"2022-05_PtCloates_stereo-BRUVS","Fistulariidae","Fistularia","commersonii",1.606,1.963,1.249,97.07,106.53,116
"2022-05_PtCloates_stereo-BRUVS","Lethrinidae","Gymnocranius","euanus",1.576,2.566,0.497,27.91,40.51,48.61
"2022-05_PtCloates_stereo-BRUVS","Pomacanthidae","Pomacanthus","semicirculatus",1.543,1.916,0.937,32,37.57,40.62
"2021-05_PtCloates_BRUVS","Sparidae","Chrysophrys","auratus",1.51,1.699,1.14,37.83,41.68,43.64
"2022-05_PtCloates_stereo-BRUVS","Sparidae","Chrysophrys","auratus",1.51,1.699,1.14,37.83,41.68,43.64
"2022-05_PtCloates_stereo-BRUVS","Lutjanidae","Pristipomoides","sp1",1.509,5.154,0.016,9.49,41.24,66.29
"2022-05_PtCloates_stereo-BRUVS","Acanthuridae","Naso","hexacanthus",1.464,1.464,1.464,44.1,44.1,44.1
"2021-05_PtCloates_BRUVS","Lutjanidae","Pristipomoides","sp1",1.438,5.154,0.016,9.49,40.24,66.29
"2022-05_PtCloates_stereo-BRUVS","Scaridae","Scarus","sp3",1.432,4.746,0.506,27.67,36.81,57.94
"2021-05_PtCloates_BRUVS","Balistidae","Abalistes","stellatus",1.419,1.419,1.419,41.34,41.34,41.34
"2022-05_PtCloates_stereo-BRUVS","Balistidae","Abalistes","stellatus",1.419,1.419,1.419,41.34,41.34,41.34
"2021-05_PtCloates_BRUVS","Sphyraenidae","Sphyraena","qenie",1.385,1.788,0.823,47.62,56,61.67
"2022-05_PtCloates_stereo-BRUVS","Sphyraenidae","Sphyraena","qenie",1.385,1.788,0.823,47.62,56,61.67
"2022-05_PtCloates_stereo-BRUVS","Sparidae","Argyrops","spinifer",1.351,2.106,0.758,24.93,31.35,37.77
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Carangoides","chrysophrys",1.34,2.839,0.426,28.1,40.71,54.21
"2021-05_PtCloates_BRUVS","Sparidae","Argyrops","spinifer",1.307,2.106,0.758,24.93,30.86,37.77
"2021-05_PtCloates_BRUVS","Carangidae","Carangoides","chrysophrys",1.191,2.415,0.426,28.1,39.12,51.25
"2022-05_PtCloates_stereo-BRUVS","Mullidae","Parupeneus","cyclostomus",1.15,1.464,0.836,34.65,38.08,41.5
"2021-05_PtCloates_BRUVS","Carangidae","Seriolina","nigrofasciata",1.11,1.192,1.028,39.58,40.58,41.58
"2022-05_PtCloates_stereo-BRUVS","Balistidae","Pseudobalistes","flavimarginatus",1.059,1.059,1.059,37.42,37.42,37.42
"2021-05_PtCloates_BRUVS","Carangidae","Carangoides","gymnostethus",1.005,3.896,0.495,29.31,36.37,62.11
"2021-05_PtCloates_BRUVS","Rhinobatidae","Rhinobatos","sainsburyi",0.993,0.993,0.993,58.56,58.56,58.56
"2022-05_PtCloates_stereo-BRUVS","Rhinobatidae","Rhinobatos","sainsburyi",0.993,0.993,0.993,58.56,58.56,58.56
"2022-05_PtCloates_stereo-BRUVS","Lethrinidae","Gymnocranius","sp1",0.972,2.697,0.003,5.11,34.74,52.18
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Seriolina","nigrofasciata",0.961,1.192,0.633,33.67,38.49,41.58
"2021-05_PtCloates_BRUVS","Lethrinidae","Gymnocranius","sp1",0.948,2.395,0.003,5.11,34.49,50.12
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Carangoides","gymnostethus",0.923,3.896,0.495,29.31,35.57,62.11
"2021-05_PtCloates_BRUVS","Carangidae","Carangoides","caeruleopinnatus",0.903,0.903,0.903,34.31,34.31,34.31
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Carangoides","caeruleopinnatus",0.903,0.903,0.903,34.31,34.31,34.31
"2021-05_PtCloates_BRUVS","Pomacanthidae","Pomacanthus","imperator",0.891,0.891,0.891,31.84,31.84,31.84
"2022-05_PtCloates_stereo-BRUVS","Pomacanthidae","Pomacanthus","imperator",0.891,0.891,0.891,31.84,31.84,31.84
"2021-05_PtCloates_BRUVS","Sphyraenidae","Sphyraena","spp",0.888,1.542,0.472,44.31,53.68,67.12
"2022-05_PtCloates_stereo-BRUVS","Sphyraenidae","Sphyraena","spp",0.888,1.542,0.472,44.31,53.68,67.12
"2021-05_PtCloates_BRUVS","Scaridae","Scarus","sp3",0.875,0.977,0.81,32.31,33.12,34.38
"2021-05_PtCloates_BRUVS","Scaridae","Scarus","ghobban",0.87,0.87,0.87,32.56,32.56,32.56
"2021-05_PtCloates_BRUVS","Synodontidae","Saurida","undosquamis",0.816,0.872,0.761,43.41,44.38,45.35
"2022-05_PtCloates_stereo-BRUVS","Synodontidae","Saurida","undosquamis",0.816,0.872,0.761,43.41,44.38,45.35
"2022-05_PtCloates_stereo-BRUVS","Balistidae","Abalistes","filamentosus",0.77,1.346,0.285,23.95,33.15,40.6
"2021-05_PtCloates_BRUVS","Lethrinidae","Lethrinus","rubrioperculatus",0.757,1.047,0.453,28.97,34.36,38.52
"2022-05_PtCloates_stereo-BRUVS","Lethrinidae","Lethrinus","rubrioperculatus",0.71,1.047,0.267,24.21,33.51,38.52
"2021-05_PtCloates_BRUVS","Balistidae","Abalistes","filamentosus",0.693,1.103,0.285,23.95,31.86,37.94
"2022-05_PtCloates_stereo-BRUVS","Balistidae","Sufflamen","fraenatum",0.688,1.449,0.007,6.39,28.65,38.55
"2022-05_PtCloates_stereo-BRUVS","Lutjanidae","Pristipomoides","spp",0.635,0.657,0.613,32.36,32.74,33.11
"2022-05_PtCloates_stereo-BRUVS","Balistidae","Xanthichthys","lineopunctatus",0.553,0.643,0.45,26.33,28.17,29.71
"2021-05_PtCloates_BRUVS","Balistidae","Sufflamen","fraenatum",0.534,0.666,0.304,22.77,27.2,29.67
"2021-05_PtCloates_BRUVS","Muraenidae","Gymnothorax","sp1",0.49,0.49,0.49,65.97,65.97,65.97
"2022-05_PtCloates_stereo-BRUVS","Muraenidae","Gymnothorax","sp1",0.49,0.49,0.49,65.97,65.97,65.97
"2022-05_PtCloates_stereo-BRUVS","Sphyraenidae","Sphyraena","forsteri",0.472,0.472,0.472,42.78,42.78,42.78
"2021-05_PtCloates_BRUVS","Serranidae","Epinephelus","rivulatus",0.444,0.63,0.28,26.48,30.37,34.42
"2022-05_PtCloates_stereo-BRUVS","Serranidae","Epinephelus","rivulatus",0.444,0.63,0.28,26.48,30.37,34.42
"2022-05_PtCloates_stereo-BRUVS","Labridae","Bodianus","solatus",0.439,1.07,0.005,7.38,29.96,41.95
"2021-05_PtCloates_BRUVS","Carangidae","Decapterus","muroadsi",0.411,2.247,0.058,16.24,29.83,54.88
"2021-05_PtCloates_BRUVS","Lethrinidae","Lethrinus","ravus",0.41,0.569,0.317,26.31,28.51,31.85
"2022-05_PtCloates_stereo-BRUVS","Lethrinidae","Lethrinus","ravus",0.41,0.612,0.168,21.39,28.41,32.6
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Decapterus","muroadsi",0.401,2.247,0.058,16.24,30.02,54.88
"2022-05_PtCloates_stereo-BRUVS","Mullidae","Parupeneus","spilurus",0.388,0.388,0.388,26.61,26.61,26.61
"2021-05_PtCloates_BRUVS","Labridae","Choerodon","zamboangae",0.35,0.465,0.289,26.92,28.48,31.45
"2022-05_PtCloates_stereo-BRUVS","Labridae","Choerodon","zamboangae",0.35,0.465,0.289,26.92,28.48,31.45
"2021-05_PtCloates_BRUVS","Labridae","Bodianus","solatus",0.347,0.647,0.103,19.45,28.2,35.58
"2021-05_PtCloates_BRUVS","Serranidae","Epinephelus","areolatus",0.336,0.593,0.176,25.52,31.05,38.53
"2021-05_PtCloates_BRUVS","Nemipteridae","Parascolopsis","akatamae",0.33,0.857,0.134,18.76,23.98,34.49
"2022-05_PtCloates_stereo-BRUVS","Nemipteridae","Parascolopsis","akatamae",0.33,0.857,0.134,18.76,23.98,34.49
