"sample","imageptpair","filenameleft","frameleft","filenameright","frameright","period","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"1","0","L041 (09).MP4","4562","R042 (09).MP4","5514","1","3.29468",30.96033,"1.36698","2.44538","1133.41802","30.41562","9.46198","24.65568","-493.60031","-292.61157","-977.43215","Cirrhitidae","Cyprinocirrhites","polyactis","37374006",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","1","L041 (09).MP4","14034","R042 (09).MP4","14986","1","5.92842",229.23818,"2.05829","3.12645","2343.97700","16.06857","4.74198","1.48067","-12.16533","648.66967","-2252.40046","Nemipteridae","Parascolopsis","eriomma","37347015",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","2","L041 (09).MP4","14188","R042 (09).MP4","15140","1","5.97124",199.58935,"15.46931","5.52898","3243.94316","19.97239","31.66153","0.48626","-1063.43732","311.15944","-3048.84373","Nemipteridae","Parascolopsis","eriomma","37347015",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","3","L041 (09).MP4","14237","R042 (09).MP4","15189","1","5.98487",344.94651,"26.51244","10.69629","3545.00500","26.80424","83.02151","8.86244","-1569.68134","302.67830","-3164.10284","Nemipteridae","Parascolopsis","eriomma","37347015",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","5","L041 (09).MP4","14300","R042 (09).MP4","15252","1","6.00239",206.31641,"5.79226","4.13643","2761.74289","15.48325","4.54660","4.36604","-733.72373","72.18277","-2661.51516","Nemipteridae","Parascolopsis","eriomma","37347015",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","6","L041 (09).MP4","14503","R042 (09).MP4","15455","1","6.05883",187.64946,"9.48704","5.18102","2964.55355","25.39238","9.97345","2.65271","-1268.97385","75.95838","-2678.15486","Nemipteridae","Parascolopsis","eriomma","37347015",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","7","L041 (09).MP4","19265","R042 (09).MP4","20217","1","7.38293",586.3141,"9.79207","4.80298","3038.63092","20.16685","15.84803","10.41253","-1034.71810","163.67608","-2852.34053","Lutjanidae","Pristipomoides","multidens","37346002",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","8","L041 (09).MP4","23145","R042 (09).MP4","24097","1","8.46179",72.21679,"3.10170","2.86627","1731.80703","22.74498","11.76750","2.00436","-611.91012","-271.82457","-1597.13274","Apogonidae",NA,"spp",NA,1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","13","L041 (09).MP4","58740","R042 (09).MP4","59692","1","18.35917",262.18374,"17.13431","6.93141","3115.10310","24.83897","46.77820","3.52631","-1287.25608","235.16056","-2826.93095","Labridae","Bodianus","solatus","37384201",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","14","L041 (09).MP4","74995","R042 (09).MP4","75947","1","22.87897",590.78663,"4.09756","5.36790","1677.11347","22.98265","31.42781","3.72757","-589.15679","-285.83299","-1543.98944","Muraenidae","Gymnothorax","javanicus","37060039",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
"1","15","L041 (10).MP4","19040","R042 (10).MP4","19992","1","29.86011",148.63874,"2.55926","2.45218","2135.11633","15.18699","25.77569","71.24924","-524.95541","-193.07853","-2060.54950","Pteroidae","Pterois","antennata","37287064",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BRUVS",NA,NA,NA,NA,NA,NA,"-22.696","113.5315","20210518","14:56","Point Cloates","No-take","inNP.1","129","Charlotte Aston/Henry Evans","Yes","Yes"
