"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date.time","location","status","depth","successful.count","successful.length"
"46","20220519_BOTTOM_1_0006_0001.mp4","12384","20220519_TOP_1_0006_0001.mp4","9848","232","0.18769",206.10559,"9.45226","3.74356","2941.04910","25.18378","64.27782","73.39141","-719.31261","1024.11055","-2661.49521","Priacanthidae","Priacanthus","hamrur","37326005",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7576","113.5368","2022-05-19T08:59:18+0800",NA,"No-take","90.9","Yes","Yes"
"51","20220519_BOTTOM_1_0006_0001.mp4","21027","20220519_TOP_1_0006_0001.mp4","18491","232","2.59092",74.30248,"7.24259","3.42912","2214.88124","31.63671","75.42179","55.77754","-506.44824","1045.57705","-1885.73002","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7576","113.5368","2022-05-19T08:59:18+0800",NA,"No-take","90.9","Yes","Yes"
"53","20220519_BOTTOM_1_0006_0001.mp4","22176","20220519_TOP_1_0006_0001.mp4","19640","232","2.91041",99.43415,"7.09880","3.37568","2385.47810","23.28613","48.76397","57.73531","-591.25393","734.66550","-2191.16205","Cirrhitidae","Cyprinocirrhites","polyactis","37374006",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7576","113.5368","2022-05-19T08:59:18+0800",NA,"No-take","90.9","Yes","Yes"
"54","20220519_BOTTOM_1_0006_0001.mp4","22176","20220519_TOP_1_0006_0001.mp4","19640","232","2.91041",75.01013,"5.41496","3.08061","2374.01457","19.17536","30.47722","59.09433","-533.53419","568.66750","-2242.29875","Cirrhitidae","Cyprinocirrhites","polyactis","37374006",2,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7576","113.5368","2022-05-19T08:59:18+0800",NA,"No-take","90.9","Yes","Yes"
"55","20220519_BOTTOM_1_0006_0001.mp4","63267","20220519_TOP_1_0006_0001.mp4","60731","211","0.25470",227.3138,"19.83054","16.05299","5991.96531","4.19322","44.99276","74.12584","385.77677","-207.69494","-5975.92565","Carangidae",NA,"spp",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7554","113.54","2022-05-19T09:11:46+0800",NA,"No-take","87.2","Yes","Yes"
"57","20220519_BOTTOM_1_0006_0001.mp4","65812","20220519_TOP_1_0006_0001.mp4","63276","211","0.96235",725.21289,"7.46986","2.43096","4218.96371","11.41396","23.82635","79.00465","720.76723","-421.40374","-4135.52515","Carcharhinidae","Carcharhinus","albimarginatus","37018027",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7554","113.54","2022-05-19T09:11:46+0800",NA,"No-take","87.2","Yes","Yes"
"63","20220519_BOTTOM_1_0006_0001.mp4","68697","20220519_TOP_1_0006_0001.mp4","66161","211","1.76454",273.81106,"17.77881","4.95107","2977.79178","30.44348","71.29109","4.41058","-435.91227","1444.46988","-2567.24194","Serranidae","Epinephelus","areolatus","37311009",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7554","113.54","2022-05-19T09:11:46+0800",NA,"No-take","87.2","Yes","Yes"
"65","20220519_BOTTOM_1_0007_0001.mp4","60421","20220519_TOP_1_0007_0001.mp4","57885","226","2.20776",343.91195,"15.89214","5.73587","3832.82006","18.03569","74.75213","71.12143","-474.61083","-1087.63325","-3644.49010","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7536","113.5408","2022-05-19T09:30:58+0800",NA,"No-take","86.6","Yes","Yes"
"70","20220519_BOTTOM_1_0008_0001.mp4","37125","20220519_TOP_1_0008_0001.mp4","34589","203","1.64053",127.58783,"10.20879","3.60476","2805.27109","20.30744","84.86753","63.35901","-683.45397","-693.37474","-2630.90632","Nemipteridae","Pentapodus","nagasakiensis","37347012",2,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7548","113.55","2022-05-19T09:44:17+0800",NA,"No-take","75.7","Yes","Yes"
"71","20220519_BOTTOM_1_0008_0001.mp4","37346","20220519_TOP_1_0008_0001.mp4","34810","203","1.70198",83.2918,"4.60581","1.96418","2322.58039","21.80035","38.42748","70.76665","-665.87187","-548.26828","-2156.47773","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7548","113.55","2022-05-19T09:44:17+0800",NA,"No-take","75.7","Yes","Yes"
"72","20220519_BOTTOM_1_0008_0001.mp4","37440","20220519_TOP_1_0008_0001.mp4","34904","203","1.72812",89.21992,"5.74528","2.83676","1933.58314","19.69200","79.09734","54.49669","-602.51279","247.97693","-1820.50255","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7548","113.55","2022-05-19T09:44:17+0800",NA,"No-take","75.7","Yes","Yes"
"73","20220519_BOTTOM_1_0008_0001.mp4","37696","20220519_TOP_1_0008_0001.mp4","35160","203","1.79930",301.13766,"6.88844","13.53048","3914.55518","9.31079","22.84984","76.53767","-490.00425","401.25900","-3862.98192","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7548","113.55","2022-05-19T09:44:17+0800",NA,"No-take","75.7","Yes","Yes"
"74","20220519_BOTTOM_1_0008_0001.mp4","38171","20220519_TOP_1_0008_0001.mp4","35635","203","1.93137",103.7566,"7.52896","5.01598","2182.65735","22.84278","88.44327","55.24006","-459.03731","712.19988","-2011.47935","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7548","113.55","2022-05-19T09:44:17+0800",NA,"No-take","75.7","Yes","Yes"
"75","20220519_BOTTOM_1_0009_0001.mp4","19338","20220519_TOP_1_0009_0001.mp4","16802","207","0.86281",369.84735,"26.98665","19.89365","5567.14342","11.37960","55.81588","70.85030","-574.23818","936.39141","-5457.70167","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7523","113.5552","2022-05-19T10:00:48+0800",NA,"No-take","71.4","Yes","Yes"
"76","20220519_BOTTOM_1_0009_0001.mp4","19615","20220519_TOP_1_0009_0001.mp4","17079","207","0.93983",478.81782,"42.14730","10.98445","4971.87514","7.01906","84.29999","52.29251","-453.15599","404.69662","-4934.61373","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7523","113.5552","2022-05-19T10:00:48+0800",NA,"No-take","71.4","Yes","Yes"
"77","20220519_BOTTOM_1_0009_0001.mp4","20364","20220519_TOP_1_0009_0001.mp4","17828","207","1.14809",423.14495,"41.65062","17.21067","4315.17593","25.59348","82.20076","9.45056","-100.31521","1861.38202","-3891.77815","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7523","113.5552","2022-05-19T10:00:48+0800",NA,"No-take","71.4","Yes","Yes"
"78","20220519_BOTTOM_1_0009_0001.mp4","21114","20220519_TOP_1_0009_0001.mp4","18578","207","1.35663",380.09608,"23.60224","7.32647","4616.32150","3.75964","49.84012","58.97605","258.45076","157.57080","-4606.38675","Lethrinidae","Gymnocranius","sp1",NA,2,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7523","113.5552","2022-05-19T10:00:48+0800",NA,"No-take","71.4","Yes","Yes"
"79","20220519_BOTTOM_1_0009_0001.mp4","64281","20220519_TOP_1_0009_0001.mp4","61745","221","0.00028",785.52435,"33.01541","1.32186","5203.62372","23.12237","68.97815","66.60516","792.74786","1883.40444","-4785.60742","Lutjanidae","Pristipomoides","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7519","113.5483","2022-05-19T10:12:53+0800",NA,"No-take","78.4","Yes","Yes"
"80","20220519_BOTTOM_1_0009_0001.mp4","64281","20220519_TOP_1_0009_0001.mp4","61745","221","0.00028",534.3219,"17.40098","8.51261","4322.71264","7.66712","70.39007","69.02208","575.14545","-42.66247","-4284.06725","Lutjanidae","Pristipomoides","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7519","113.5483","2022-05-19T10:12:53+0800",NA,"No-take","78.4","Yes","Yes"
"81","20220519_BOTTOM_1_0009_0001.mp4","64677","20220519_TOP_1_0009_0001.mp4","62141","221","0.11039",595.09924,"8.99362","8.40520","3051.43474","9.83327","59.07758","66.86564","482.64662","196.53928","-3006.60582","Lutjanidae","Lutjanus","sebae","37346004",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7519","113.5483","2022-05-19T10:12:53+0800",NA,"No-take","78.4","Yes","Yes"
"82","20220519_BOTTOM_1_0009_0001.mp4","64974","20220519_TOP_1_0009_0001.mp4","62438","221","0.19297",514.31632,"14.96032","8.70082","5616.70876","15.17272","53.07409","83.44491","1184.20568","-871.05119","-5420.91727","Lutjanidae","Pristipomoides","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7519","113.5483","2022-05-19T10:12:53+0800",NA,"No-take","78.4","Yes","Yes"
"83","20220519_BOTTOM_1_0009_0001.mp4","65052","20220519_TOP_1_0009_0001.mp4","62516","221","0.21466",463.8027,"5.27477","8.24640","4532.46656","8.11779","36.11968","87.52740","591.72993","-243.89635","-4487.05063","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7519","113.5483","2022-05-19T10:12:53+0800",NA,"No-take","78.4","Yes","Yes"
"84","20220519_BOTTOM_1_0009_0001.mp4","65122","20220519_TOP_1_0009_0001.mp4","62586","221","0.23412",432.0393,"27.90382","18.95386","4537.73670","6.06412","58.65114","55.18734","418.05129","-234.58796","-4512.34484","Carangidae","Carangoides","spp",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7519","113.5483","2022-05-19T10:12:53+0800",NA,"No-take","78.4","Yes","Yes"
"85","20220519_BOTTOM_1_0009_0001.mp4","65647","20220519_TOP_1_0009_0001.mp4","63111","221","0.38010",456.99159,"27.13494","8.96864","4651.40518","4.71555","68.51314","61.49189","49.46574","379.17402","-4635.66073","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7519","113.5483","2022-05-19T10:12:53+0800",NA,"No-take","78.4","Yes","Yes"
"86","20220519_BOTTOM_1_0009_0001.mp4","65689","20220519_TOP_1_0009_0001.mp4","63153","221","0.39178",447.35197,"25.66616","8.43160","4995.19044","23.34254","49.55129","82.56849","80.88557","-1977.57702","-4586.34650","Lethrinidae","Gymnocranius","sp1",NA,2,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7519","113.5483","2022-05-19T10:12:53+0800",NA,"No-take","78.4","Yes","Yes"
"87","20220519_BOTTOM_1_0010_0001.mp4","69859","20220519_TOP_1_0010_0001.mp4","67323","264","0.03448",325.89667,"16.31596","11.05317","3207.63812","27.44443","76.02801","52.71493","-14.17171","-1478.29436","-2846.64492","Labridae","Bodianus","bilunulatus","37384054",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"91","20220519_BOTTOM_1_0010_0001.mp4","70376","20220519_TOP_1_0010_0001.mp4","67840","264","0.17823",240.89108,"8.62898","4.74782","2472.18434","23.81058","41.98908","39.88234","-432.68202","899.38992","-2261.76468","Chaetodontidae","Heniochus","acuminatus","37365011",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"92","20220519_BOTTOM_1_0010_0001.mp4","70652","20220519_TOP_1_0010_0001.mp4","68116","264","0.25498",74.29671,"4.33651","9.64654","2255.93371","21.03087","62.65508","72.08530","-728.33571","353.49842","-2105.65973","Labridae","Labroides","dimidiatus","37384028",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"93","20220519_BOTTOM_1_0010_0001.mp4","70891","20220519_TOP_1_0010_0001.mp4","68355","264","0.32143",276.86681,"7.26441","0.23691","2826.04287","4.46982","41.30529","62.23621","-102.34534","195.02102","-2817.44752","Labridae","Bodianus","solatus","37384201",2,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"94","20220519_BOTTOM_1_0010_0001.mp4","70922","20220519_TOP_1_0010_0001.mp4","68386","264","0.33005",175.8612,"10.12471","10.50387","2770.32324","22.09840","53.56436","52.48134","-977.40843","361.71188","-2566.81284","Serranidae","Cephalopholis","sonnerati","37311045",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"95","20220519_BOTTOM_1_0010_0001.mp4","70942","20220519_TOP_1_0010_0001.mp4","68406","264","0.33561",663.8107,"38.58505","6.40433","4368.80464","26.97053","82.02179","27.56759","300.66276","-1958.44871","-3893.65310","Serranidae","Plectropomus","spp",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"96","20220519_BOTTOM_1_0011_0001.mp4","1623","20220519_TOP_1_0010_0001.mp4","71015","264","1.06106",301.42631,"28.35790","1.53768","4639.44512","26.78191","88.37399","68.06336","-82.18150","2088.89795","-4141.76323","Mullidae","Parupeneus","cyclostomus","37355025",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"97","20220519_BOTTOM_1_0011_0001.mp4","1623","20220519_TOP_1_0010_0001.mp4","71015","264","1.06106",306.70921,"25.29515","9.09309","4425.33159","28.52772","87.92670","71.11736","-252.16507","2098.36944","-3888.03526","Mullidae","Parupeneus","cyclostomus","37355025",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"98","20220519_BOTTOM_1_0011_0001.mp4","1623","20220519_TOP_1_0010_0001.mp4","71015","264","1.06106",343.88694,"28.59628","2.06713","4581.11963","23.31084","84.94010","64.30924","-182.43433","1803.63430","-4207.16984","Mullidae","Parupeneus","cyclostomus","37355025",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"99","20220519_BOTTOM_1_0011_0001.mp4","1623","20220519_TOP_1_0010_0001.mp4","71015","264","1.06106",274.5497,"22.01445","7.81746","4539.73563","23.25623","78.38158","78.72036","-420.56491","1742.45035","-4170.87419","Mullidae","Parupeneus","cyclostomus","37355025",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"101","20220519_BOTTOM_1_0011_0001.mp4","1932","20220519_TOP_1_0010_0001.mp4","71324","264","1.14698",695.49909,"41.88306","3.98996","4066.94290","16.10298","79.46846","3.64914","605.01658","-952.04886","-3907.37539","Lutjanidae","Lutjanus","sebae","37346004",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"102","20220519_BOTTOM_1_0011_0001.mp4","4973","20220519_TOP_1_0011_0001.mp4","2437","264","1.99255",636.71842,"33.10813","5.01620","5260.48260","23.44980","79.22606","66.21675","993.97688","-1842.35444","-4826.01464","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"104","20220519_BOTTOM_1_0011_0001.mp4","5317","20220519_TOP_1_0011_0001.mp4","2781","264","2.08820",342.46966,"28.27254","8.44575","5260.43749","23.12490","54.65005","79.53777","-540.34105","1994.05490","-4837.76593","Lutjanidae","Lutjanus","lemniscatus","37346010",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"106","20220519_BOTTOM_1_0011_0001.mp4","7535","20220519_TOP_1_0011_0001.mp4","4999","264","2.70492",315.42314,"10.96108","7.93537","3185.60417","25.42552","50.77189","66.49327","736.52152","-1152.44827","-2877.05977","Pomacanthidae","Pomacanthus","semicirculatus","37365080",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7655","113.5389","2022-05-19T10:34:40+0800",NA,"No-take","81.6","Yes","Yes"
"107","20220519_BOTTOM_1_0011_0001.mp4","39473","20220519_TOP_1_0011_0001.mp4","36937","262","0.02614",734.80366,"20.71805","17.38987","3345.58519","24.65363","83.94171","43.30987","-68.70629","1393.85707","-3040.62201","Lutjanidae","Aphareus","rutilans","37346001",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7635","113.5347","2022-05-19T10:45:55+0800",NA,"No-take","91","Yes","Yes"
"110","20220519_BOTTOM_1_0011_0001.mp4","44554","20220519_TOP_1_0011_0001.mp4","42018","262","1.43894",498.40224,"4.88475","4.03977","1993.63276","19.82302","85.01480","65.48983","-562.47766","-375.09046","-1875.49930","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7635","113.5347","2022-05-19T10:45:55+0800",NA,"No-take","91","Yes","Yes"
"111","20220519_BOTTOM_1_0011_0001.mp4","45062","20220519_TOP_1_0011_0001.mp4","42526","262","1.58019",201.47593,"8.52918","9.28528","3752.02794","16.11649","10.48463","26.87759","434.60967","946.51899","-3604.57070","Chaetodontidae","Heniochus","acuminatus","37365011",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7635","113.5347","2022-05-19T10:45:55+0800",NA,"No-take","91","Yes","Yes"
"112","20220519_BOTTOM_1_0011_0001.mp4","45162","20220519_TOP_1_0011_0001.mp4","42626","262","1.60800",200.68673,"19.06209","9.23654","4460.41038","28.14392","0.79934","55.86572","75.11548","2102.58048","-3933.03620","Chaetodontidae","Heniochus","acuminatus","37365011",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7635","113.5347","2022-05-19T10:45:55+0800",NA,"No-take","91","Yes","Yes"
"113","20220519_BOTTOM_1_0011_0001.mp4","46452","20220519_TOP_1_0011_0001.mp4","43916","262","1.96669",554.15738,"46.62765","0.40818","5253.19475","18.97199","85.46640","51.78012","-313.42765","1678.83757","-4967.82876","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7635","113.5347","2022-05-19T10:45:55+0800",NA,"No-take","91","Yes","Yes"
"114","20220519_BOTTOM_1_0011_0001.mp4","49457","20220519_TOP_1_0011_0001.mp4","46921","262","2.80224",96.6896,"8.49684","1.94420","1940.24640","21.81636","76.82671","24.68230","-585.96579","-420.20343","-1801.28545","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7635","113.5347","2022-05-19T10:45:55+0800",NA,"No-take","91","Yes","Yes"
"116","20220519_BOTTOM_1_0012_0001.mp4","21145","20220519_TOP_1_0012_0001.mp4","18609","265","1.85046",363.0799,"12.75670","2.88018","2774.28517","25.65070","85.83785","51.25214","77.00989","-1198.47108","-2500.87880","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7561","113.529","2022-05-19T10:58:59+0800",NA,"No-take","99.2","Yes","Yes"
"117","20220519_BOTTOM_1_0012_0001.mp4","21791","20220519_TOP_1_0012_0001.mp4","19255","265","2.03008",313.13732,"7.49507","17.25274","2756.37062","10.25499","74.83182","70.80917","-278.53317","-404.00521","-2712.33812","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7561","113.529","2022-05-19T10:58:59+0800",NA,"No-take","99.2","Yes","Yes"
"118","20220519_BOTTOM_1_0012_0001.mp4","21791","20220519_TOP_1_0012_0001.mp4","19255","265","2.03008",300.18105,"4.65852","14.91345","2647.96678","9.22772","49.17417","77.61810","-231.87625","355.72414","-2613.69887","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7561","113.529","2022-05-19T10:58:59+0800",NA,"No-take","99.2","Yes","Yes"
"119","20220519_BOTTOM_1_0012_0001.mp4","21791","20220519_TOP_1_0012_0001.mp4","19255","265","2.03008",359.92985,"24.71427","4.22863","3559.25034","13.13143","71.13335","40.74861","66.05741","805.90759","-3466.18123","Lethrinidae","Gymnocranius","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7561","113.529","2022-05-19T10:58:59+0800",NA,"No-take","99.2","Yes","Yes"
"120","20220519_BOTTOM_1_0012_0001.mp4","22043","20220519_TOP_1_0012_0001.mp4","19507","265","2.10015",452.12108,"13.13101","6.49198","4221.78135","16.65742","69.07044","85.03221","461.95818","1118.52652","-4044.61751","Carangidae","Carangoides","chrysophrys",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7561","113.529","2022-05-19T10:58:59+0800",NA,"No-take","99.2","Yes","Yes"
"121","20220519_BOTTOM_1_0012_0001.mp4","22162","20220519_TOP_1_0012_0001.mp4","19626","265","2.13324",434.65318,"15.61832","3.37260","2596.41063","10.57060","77.82224","30.28508","209.98804","427.51613","-2552.34856","Lethrinidae","Gymnocranius","sp1",NA,3,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7561","113.529","2022-05-19T10:58:59+0800",NA,"No-take","99.2","Yes","Yes"
"1","20220519_BOTTOM_2_0001_0001.mp4","20105","20220519_TOP_2_0001_0001.mp4","20814","266","1.02547",384.42396,"19.55069","4.35436","2996.19038","28.90567","89.47541","4.41192","-445.21445","1378.13542","-2622.91510","Lutjanidae","Pristipomoides","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7531","113.5301","2022-05-19T11:11:08+0800",NA,"No-take","98.5","Yes","Yes"
"2","20220519_BOTTOM_2_0001_0001.mp4","20466","20220519_TOP_2_0001_0001.mp4","21175","266","1.12585",317.0361,"10.64460","7.04582","3499.69198","9.51095","36.32592","60.49365","433.63462","382.57458","-3451.58538","Lutjanidae","Pristipomoides","sp1",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7531","113.5301","2022-05-19T11:11:08+0800",NA,"No-take","98.5","Yes","Yes"
"5","20220519_BOTTOM_2_0002_0001.mp4","4385","20220519_TOP_2_0002_0001.mp4","5094","253","2.14742",533.57875,"21.10082","5.69423","6868.11157","5.02020","20.79538","69.69302","62.90029","597.70700","-6841.76486","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7509","113.538","2022-05-19T11:26:11+0800",NA,"No-take","91.2","Yes","Yes"
"9","20220519_BOTTOM_2_0002_0001.mp4","40552","20220519_TOP_2_0002_0001.mp4","41261","270","0.33033",671.66728,"30.38519","8.67866","6548.13782","21.70374","16.88862","76.51621","-1790.81916","1629.99159","-6083.92991","Carangidae","Carangoides","spp",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7511","113.5387","2022-05-19T11:37:38+0800",NA,"No-take","91","Yes","Yes"
"10","20220519_BOTTOM_2_0002_0001.mp4","40552","20220519_TOP_2_0002_0001.mp4","41261","270","0.33033",615.01023,"15.97509","5.31320","6189.38524","18.75020","22.13181","73.31982","-1968.75191","286.80387","-5860.90856","Carangidae","Carangoides","spp",NA,1,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7511","113.5387","2022-05-19T11:37:38+0800",NA,"No-take","91","Yes","Yes"
"11","20220519_BOTTOM_2_0002_0001.mp4","40552","20220519_TOP_2_0002_0001.mp4","41261","270","0.33033",662.3379,"58.74835","5.45048","7079.79638","24.07830","47.10748","60.95461","-1532.74765","2448.22766","-6463.77465","Carangidae","Carangoides","spp",NA,2,"AD","Passing",NA,NA,"2022-05_PtCloates_Naked-BOSS",NA,NA,NA,NA,NA,NA,"-22.7511","113.5387","2022-05-19T11:37:38+0800",NA,"No-take","91","Yes","Yes"
