"imageptpair","filenameleft","frameleft","filenameright","frameright","sample","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date.time","location","status","depth","successful.count","successful.length"
"6","20210520_0809-1314_BOTTOM_0003_0001.mp4","11513","20210520_0809-1314_TOP_0003_0001.mp4","3763","22","1.05717",189.72169,"4.92949","13.81408","3229.04858","2.86298","62.09421","80.71797","-66.67375","-146.85708","-3225.01819","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"7","20210520_0809-1314_BOTTOM_0003_0001.mp4","11513","20210520_0809-1314_TOP_0003_0001.mp4","3763","22","1.05717",241.75177,"9.76932","7.80501","3234.17936","10.34127","87.36950","73.35168","-76.23544","-575.54309","-3181.64336","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"8","20210520_0809-1314_BOTTOM_0003_0001.mp4","11513","20210520_0809-1314_TOP_0003_0001.mp4","3763","22","1.05717",229.35258,"11.92640","4.76909","4167.00151","14.00952","35.72577","83.13191","-103.99259","-1003.38577","-4043.05629","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"9","20210520_0809-1314_BOTTOM_0003_0001.mp4","11513","20210520_0809-1314_TOP_0003_0001.mp4","3763","22","1.05717",260.84914,"24.03889","17.34009","4367.90218","17.50192","85.17737","66.28757","70.97581","-1311.67422","-4165.69833","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"10","20210520_0809-1314_BOTTOM_0003_0001.mp4","11513","20210520_0809-1314_TOP_0003_0001.mp4","3763","22","1.05717",300.39055,"24.48201","10.39168","3302.54330","19.95760","76.45435","22.94698","289.65809","-1089.38858","-3104.21052","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"11","20210520_0809-1314_BOTTOM_0003_0001.mp4","11513","20210520_0809-1314_TOP_0003_0001.mp4","3763","22","1.05717",266.56949,"18.73972","15.04857","3031.91888","20.83271","86.23467","36.84862","167.40233","-1065.19940","-2833.70054","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"12","20210520_0809-1314_BOTTOM_0003_0001.mp4","11513","20210520_0809-1314_TOP_0003_0001.mp4","3763","22","1.05717",295.64559,"27.80900","10.61868","4605.84617","20.30213","68.97671","63.65121","1.45183","-1598.09235","-4319.71268","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"14","20210520_0809-1314_BOTTOM_0003_0001.mp4","11515","20210520_0809-1314_TOP_0003_0001.mp4","3765","22","1.05772",232.81677,"22.00011","8.37670","4461.64282","19.95753","87.62241","73.86435","-5.79564","-1522.85261","-4193.70278","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"15","20210520_0809-1314_BOTTOM_0003_0001.mp4","11515","20210520_0809-1314_TOP_0003_0001.mp4","3765","22","1.05772",213.31172,"12.83859","12.50788","3525.07432","22.90008","79.95801","80.84560","273.57790","-1344.13640","-3247.24521","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"16","20210520_0809-1314_BOTTOM_0003_0001.mp4","11515","20210520_0809-1314_TOP_0003_0001.mp4","3765","22","1.05772",214.55841,"16.61354","13.48425","3305.33806","27.50090","67.33766","50.44633","391.18434","-1475.29963","-2931.84677","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"17","20210520_0809-1314_BOTTOM_0003_0001.mp4","11515","20210520_0809-1314_TOP_0003_0001.mp4","3765","22","1.05772",206.40223,"10.21128","15.19537","2711.98343","29.02350","80.29552","60.55923","400.00155","-1253.49333","-2371.41463","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"18","20210520_0809-1314_BOTTOM_0003_0001.mp4","11515","20210520_0809-1314_TOP_0003_0001.mp4","3765","22","1.05772",201.01967,"13.73205","4.61690","3639.33122","22.65322","52.62637","79.48769","68.20293","-1400.03792","-3358.56724","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
"19","20210520_0809-1314_BOTTOM_0003_0001.mp4","11515","20210520_0809-1314_TOP_0003_0001.mp4","3765","22","1.05772",183.15999,"16.91124","8.34691","2929.21341","26.01406","82.33294","32.92842","134.04706","-1277.71639","-2632.44438","Carangidae","Decapterus","muroadsi","37337071",1,"AD","Passing",NA,NA,"2021-05_PtCloates_BOSS",NA,NA,NA,NA,NA,NA,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes"
