"campaignid","sample","family","genus","species"
"2022-05_PtCloates_stereo-BRUVS",27,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",28,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",28,"Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS",29,"Labridae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",29,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",29,"Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS",3,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",3,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",30,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",30,"Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS",31,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",32,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",32,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",33,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",34,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",34,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",35,"Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS",35,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",35,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",36,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",37,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",37,"NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",38,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",39,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",4,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",4,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",40,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",41,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",42,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",42,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",43,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",43,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",43,"Haemulidae","Diagramma","pictum"
"2022-05_PtCloates_stereo-BRUVS",43,"Mullidae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",44,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",44,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",44,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",45,"Scaridae","Scarus","sp3"
"2022-05_PtCloates_stereo-BRUVS",46,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",47,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",47,"Labridae","Choerodon","sp1"
