"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS","11","L039 (11).MP4","16.85323","SUS","SUS","SUS",1,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","11","L039 (12).MP4","58.74285","Triakidae","Hemitriakis","falcata",1,"-22.6761","113.5387","20210518","15:20","Point Cloates","No-take","inNP.11","139","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (5).MP4","53.08053","Carangidae","Carangoides","chrysophrys",4,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (4).MP4","29.10936","Carangidae","Seriola","sp1",2,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (4).MP4","28.89553","Echeneidae","Echeneis","naucrates",1,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (5).MP4","57.23357","Labridae","Bodianus","solatus",1,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (5).MP4","58.21927","Lethrinidae","Gymnocranius","sp1",4,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (4).MP4","31.07465","Lethrinidae","Lethrinus","miniatus",3,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (4).MP4","21.50788","Lutjanidae","Lutjanus","sebae",1,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","12","L039 (4).MP4","24.65435","Lutjanidae","Pristipomoides","sp1",8,"-22.7262","113.5214","20210518","12:48","Point Cloates","No-take","inNP.12","126","Charlotte Aston","Yes","Yes"
