"campaignid","sample","longitude","latitude"
"2020-10_south-west_stereo-BRUVs","IO319",114.7313721,-34.09368897
"2020-10_south-west_stereo-BRUVs","IO329",114.7266333,-34.06481667
"2020-10_south-west_stereo-BRUVs","IO330",114.7545,-34.08833333
"2020-10_south-west_stereo-BRUVs","IO331",114.75005,-34.0984
"2020-10_south-west_stereo-BRUVs","IO332",114.7344833,-34.09718333
"2020-10_south-west_stereo-BRUVs","IO333",114.7251333,-34.11301667
"2020-10_south-west_stereo-BRUVs","IO334",114.7753667,-34.06155
"2020-10_south-west_stereo-BRUVs","IO335",114.7939833,-34.06686667
"2020-10_south-west_stereo-BRUVs","IO336",114.8663667,-34.0924
"2020-10_south-west_stereo-BRUVs","IO34",114.8713721,-34.06118897
"2020-10_south-west_stereo-BRUVs","IO353",114.8390667,-34.05436667
"2020-10_south-west_stereo-BRUVs","IO354",114.84,-34.06605
"2020-10_south-west_stereo-BRUVs","IO355",114.9111,-34.05473333
"2020-10_south-west_stereo-BRUVs","IO356",114.9184667,-34.06956667
"2020-10_south-west_stereo-BRUVs","IO357",114.928,-34.08496667
"2020-10_south-west_stereo-BRUVs","IO377",114.7588721,-34.13868897
"2020-10_south-west_stereo-BRUVs","IO4",114.7813721,-34.09118897
"2020-10_south-west_stereo-BRUVs","IO5",114.7763721,-34.08868897
"2020-10_south-west_stereo-BRUVs","IO58",114.7738721,-34.13618897
"2020-10_south-west_stereo-BRUVs","IO59",114.7663721,-34.14118897
"2020-10_south-west_stereo-BRUVs","IO62",114.7663721,-34.13368897
"2020-10_south-west_stereo-BRUVs","IO80",114.8888721,-34.09368897
"2020-10_south-west_stereo-BRUVs","IO81",114.8913721,-34.09868897
"2020-10_south-west_stereo-BRUVs","IO91",114.8938721,-34.09368897
"2020-10_south-west_stereo-BRUVs","IO92",114.8863721,-34.09868897
"2020-10_south-west_stereo-BRUVs","IO95",114.7338721,-34.12618897
"2020-10_south-west_stereo-BRUVs","IO96",114.7363721,-34.13618897
"2020-10_south-west_stereo-BRUVs","IO98",114.7313721,-34.13368897
"2020-10_south-west_stereo-BRUVs","IOC04",114.749265,-34.08755
"2020-10_south-west_stereo-BRUVs","IOC05",114.899843,-34.05394
"2020-10_south-west_stereo-BRUVs","IO215",114.9263721,-34.06868897
