"sample","longitude","latitude"
"129",114.772,-34.0839
"45",114.771,-34.0816
"143",114.776,-34.0833
"113",114.78,-34.0809
"122",114.777,-34.0789
"27",114.789,-34.0521
"135",114.77,-34.0516
"74",114.769,-34.0513
"105",114.76,-34.0534
"63",114.761,-34.056
"25",114.765,-34.0626
"59",114.766,-34.062
"123",114.785,-34.0614
"119",114.771,-34.0634
"15",114.769,-34.0656
"85",114.767,-34.0701
"81",114.775,-34.0726
"29",114.784,-34.1266
"61",114.783,-34.1305
"21",114.797,-34.1285
"58",114.794,-34.1219
"87",114.805,-34.1259
"132",114.808,-34.1162
"9",114.813,-34.1175
"111",114.812,-34.1035
"142",114.814,-34.0971
"66",114.807,-34.0855
"34",114.798,-34.0829
"19",114.806,-34.0802
"75",114.816,-34.0836
"51",114.814,-34.0709
"31",114.806,-34.061
"13",114.813,-34.051
