campaignid,sample,longitude,latitude,
2020-10_south-west_BOSS,J5,114.9158,-34.1315,
2020-10_south-west_BOSS,J6,114.9124,-34.1328,
2020-10_south-west_BOSS,J7,114.9102,-34.1348,
2020-10_south-west_BOSS,J8,114.9118,-34.1294,
2020-10_south-west_BOSS,J9,114.9161,-34.1195,
2021-03_West-Coast_BOSS,1,114.853,-34.1318,
2021-03_West-Coast_BOSS,2,114.924,-34.0604,
2021-03_West-Coast_BOSS,3,114.851,-34.0789,
2021-03_West-Coast_BOSS,4,114.785,-34.0862,
2021-03_West-Coast_BOSS,5,114.93,-34.125,
2021-03_West-Coast_BOSS,6,114.918,-34.1073,
2021-03_West-Coast_BOSS,7,114.853,-34.0995,
2021-03_West-Coast_BOSS,8,114.851,-34.0554,
2021-03_West-Coast_BOSS,9,114.813,-34.1175,
2021-03_West-Coast_BOSS,10,114.886,-34.1084,
2021-03_West-Coast_BOSS,11,114.775,-34.1163,
2021-03_West-Coast_BOSS,12,114.783,-34.0901,
2021-03_West-Coast_BOSS,13,114.813,-34.051,
2021-03_West-Coast_BOSS,14,114.913,-34.0979,
2021-03_West-Coast_BOSS,15,114.769,-34.0656,
2021-03_West-Coast_BOSS,16,114.924,-34.0848,
2021-03_West-Coast_BOSS,17,114.757,-34.0742,
2021-03_West-Coast_BOSS,18,114.787,-34.1078,
2021-03_West-Coast_BOSS,19,114.806,-34.0802,
2021-03_West-Coast_BOSS,20,114.784,-34.1018,
2021-03_West-Coast_BOSS,21,114.797,-34.1285,
2021-03_West-Coast_BOSS,22,114.745,-34.1033,
2021-03_West-Coast_BOSS,23,114.899,-34.0829,
2021-03_West-Coast_BOSS,24,114.923,-34.1347,
2021-03_West-Coast_BOSS,25,114.765,-34.0626,
2021-03_West-Coast_BOSS,26,114.844,-34.1003,
2021-03_West-Coast_BOSS,27,114.789,-34.0521,
2021-03_West-Coast_BOSS,28,114.923,-34.0995,
2021-03_West-Coast_BOSS,29,114.784,-34.1266,
2021-03_West-Coast_BOSS,30,114.915,-34.1256,
2021-03_West-Coast_BOSS,31,114.806,-34.061,
2021-03_West-Coast_BOSS,32,114.921,-34.1125,
2021-03_West-Coast_BOSS,33,114.871,-34.0742,
2021-03_West-Coast_BOSS,34,114.798,-34.0829,
2021-03_West-Coast_BOSS,35,114.852,-34.0959,
2021-03_West-Coast_BOSS,36,114.822,-34.1317,
2021-03_West-Coast_BOSS,37,114.931,-34.1303,
2021-03_West-Coast_BOSS,38,114.917,-34.0904,
2021-03_West-Coast_BOSS,39,114.877,-34.1301,
2021-03_West-Coast_BOSS,40,114.754,-34.0784,
2021-03_West-Coast_BOSS,41,114.877,-34.0596,
2021-03_West-Coast_BOSS,42,114.781,-34.106,57
2021-03_West-Coast_BOSS,43,114.909,-34.0521,
2021-03_West-Coast_BOSS,44,114.858,-34.0931,
2021-03_West-Coast_BOSS,45,114.771,-34.0816,
2021-03_West-Coast_BOSS,46,114.831,-34.119,
2021-03_West-Coast_BOSS,47,114.926,-34.0832,
2021-03_West-Coast_BOSS,48,114.882,-34.0891,
2021-03_West-Coast_BOSS,49,114.762,-34.103,58
2021-03_West-Coast_BOSS,50,114.842,-34.1143,
2021-03_West-Coast_BOSS,51,114.814,-34.0709,
2021-03_West-Coast_BOSS,52,114.915,-34.0826,
2021-03_West-Coast_BOSS,53,114.92,-34.1047,
2021-03_West-Coast_BOSS,54,114.789,-34.0925,
2021-03_West-Coast_BOSS,55,114.778,-34.1011,
2021-03_West-Coast_BOSS,56,114.873,-34.0782,
2021-03_West-Coast_BOSS,57,114.924,-34.1341,
2021-03_West-Coast_BOSS,58,114.794,-34.1219,
2021-03_West-Coast_BOSS,59,114.766,-34.062,
2021-03_West-Coast_BOSS,60,114.821,-34.0652,
