"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",686.08892,1,4562.17345
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",528.89089,1,1316.18143
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",626.32466,1,1542.32903
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Carcharhinidae","Carcharhinus","plumbeus",1185.30176,1,1290.1122
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Lethrinidae","Lethrinus","nebulosus",520.31555,1,1351.24743
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Lethrinidae","Lethrinus","nebulosus",613.54899,1,1305.19877
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Lethrinidae","Lethrinus","nebulosus",503.39618,1,1392.9713
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Lethrinidae","Lethrinus","nebulosus",546.12797,1,1482.27959
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Lethrinidae","Lethrinus","nebulosus",585.99331,1,1368.12918
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Sparidae","Chrysophrys","auratus",447.70679,1,1312.4569
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Sparidae","Chrysophrys","auratus",429.48654,1,1176.85023
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Sparidae","Chrysophrys","auratus",411.48109,1,1377.6808
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Sparidae","Chrysophrys","auratus",637.65007,1,2321.35858
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Sparidae","Chrysophrys","auratus",451.11874,1,992.8618
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Choerodon","rubescens",393.73422,1,3424.43424
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Choerodon","rubescens",473.84596,1,1419.59079
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Choerodon","rubescens",387.79128,1,2533.58083
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Mullidae","Parupeneus","spilurus",85.71134,1,1915.98746
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Haemulidae","Diagramma","pictum labiosum",727.99501,1,4278.97071
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Carangidae","Seriola","hippos",865.20955,1,1967.36931
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Carangidae","Seriola","hippos",907.23737,1,1850.48418
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Lethrinidae","Lethrinus","miniatus",666.33792,1,5872.36234
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Lethrinidae","Lethrinus","miniatus",497.94464,1,1405.99177
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Lethrinidae","Lethrinus","miniatus",509.36811,1,1326.03032
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Lethrinidae","Lethrinus","miniatus",739.52625,1,7323.22765
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Lethrinidae","Lethrinus","miniatus",511.20783,1,1536.83765
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Lethrinidae","Lethrinus","miniatus",428.90428,1,2198.76608
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Labridae","Choerodon","rubescens",524.64544,1,3609.79469
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Labridae","Suezichthys","cyanolaemus",56.65307,1,1159.49761
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Sparidae","Chrysophrys","auratus",411.14198,1,1697.59707
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Sparidae","Chrysophrys","auratus",392.79292,1,1064.10597
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Choerodon","rubescens",453.18111,1,2398.85343
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Choerodon","rubescens",549.72377,1,4343.10518
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Choerodon","rubescens",327.29853,1,2709.08874
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Choerodon","rubescens",496.62623,1,3559.73136
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Choerodon","rubescens",512.45867,1,4819.84516
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","nebulosus",529.88138,1,4533.99517
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","nebulosus",607.13248,1,6799.00834
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Carangidae","Carangoides","fulvoguttatus",671.26179,1,1416.762
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","miniatus",499.6861,1,5038.64278
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","miniatus",529.21933,1,2527.36855
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","miniatus",373.84421,1,1368.27609
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","miniatus",526.34461,1,875.47205
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","ravus",360.65307,1,1101.55707
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","ravus",311.13914,1,1354.95215
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","ravus",322.76686,1,878.35274
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","ravus",368.73025,1,2436.81599
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","miniatus",501.68234,1,1467.64476
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","miniatus",303.77395,1,1197.58515
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","miniatus",405.6315,1,1272.11308
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","miniatus",378.49834,1,1340.76949
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","miniatus",284.14,1,1174.88553
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","miniatus",380.47538,1,1436.4294
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","nebulosus",725.27485,1,1097.08807
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","nebulosus",656.57803,1,1803.38229
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","nebulosus",663.63219,1,1419.62709
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Labridae","Choerodon","rubescens",384.58469,1,2081.1137
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Carangidae","Seriola","hippos",937.32267,1,2216.02144
"2021-05_Abrolhos_stereo-BRUVs","npz6.28","Triakidae","Mustelus","spp",707.39895,1,1350.8778
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Serranidae","Epinephelus","rivulatus",265.70951,1,1664.5147
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Lethrinidae","Lethrinus","miniatus",413.27859,1,1240.99286
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Lethrinidae","Lethrinus","nebulosus",631.18795,1,999.89609
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Lethrinidae","Lethrinus","nebulosus",571.17483,1,1196.93882
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Choerodon","rubescens",418.81086,1,2404.82983
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Carangidae","Seriola","hippos",639.00148,1,2201.62386
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",439.53165,1,816.18901
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",348.41815,1,1792.18263
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",472.38178,1,1496.64554
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",488.43062,1,1013.68096
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",357.45173,1,1557.2011
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",327.8511,1,1305.94022
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",320.68717,1,1626.48087
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Sparidae","Chrysophrys","auratus",394.84071,1,1458.59866
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Nemipteridae","Pentapodus","spp",68.48464,1,910.24489
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Pinguipedidae","Parapercis","nebulosa",90.07812,1,2018.68572
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Serranidae","Epinephelus","rivulatus",267.81472,1,1746.64876
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Nemipteridae","Pentapodus","nagasakiensis",156.96267,1,1169.5637
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Coris","auricularis",182.06122,1,1681.12519
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Coris","auricularis",134.61961,1,1813.82164
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Coris","auricularis",187.70427,1,1790.11598
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Coris","auricularis",212.97957,1,1368.40375
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Coris","auricularis",137.25336,1,1881.40332
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Coris","auricularis",155.88169,1,1841.45998
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Carangidae","Seriola","hippos",561.44626,1,1640.7943
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Labridae","Bodianus","solatus",350.64371,1,2881.2785
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Lethrinidae","Lethrinus","miniatus",526.22271,1,1560.95475
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Lethrinidae","Lethrinus","miniatus",420.63666,1,1771.41759
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Lethrinidae","Lethrinus","nebulosus",587.61143,1,1542.42887
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Lethrinidae","Lethrinus","nebulosus",546.28104,1,1419.50563
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Carcharhinidae","Carcharhinus","plumbeus",909.80678,1,1618.43232
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",387.93766,1,1407.7827
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",289.02218,1,1244.45031
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",352.35497,1,1046.27834
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",347.60052,1,1722.2863
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",372.04727,1,1432.58152
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",338.54933,1,1660.8567
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",353.94789,1,1243.1108
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",520.51751,1,1113.3055
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",431.36359,1,1268.94942
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",317.65758,1,1263.47644
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",381.14257,1,1469.81013
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",354.6237,1,1385.65723
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",365.16709,1,1674.16033
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",441.12149,1,1177.34759
"2021-05_Abrolhos_stereo-BRUVs","npz6.4","Sparidae","Chrysophrys","auratus",510.92299,1,1208.86742
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Choerodon","rubescens",416.00359,1,2323.23471
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Labridae","Choerodon","rubescens",306.31041,1,2769.59791
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Lethrinidae","Lethrinus","nebulosus",534.90751,1,1526.299
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Lethrinidae","Lethrinus","nebulosus",589.76914,1,2876.30134
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Sparidae","Chrysophrys","auratus",524.01706,1,1507.99549
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Sparidae","Chrysophrys","auratus",451.67371,1,2485.28894
"2021-05_Abrolhos_stereo-BRUVs","npz6.5","Sparidae","Chrysophrys","auratus",505.88124,1,1848.38833
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Labridae","Choerodon","rubescens",398.09802,1,4071.59463
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Carangidae","Seriola","hippos",866.70427,1,1664.37116
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Haemulidae","Diagramma","pictum labiosum",507.025,1,2210.99943
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","nebulosus",581.84305,1,1639.39679
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",441.42577,1,3980.94655
"2021-05_Abrolhos_stereo-BRUVs","npz6.6","Lethrinidae","Lethrinus","miniatus",429.51379,1,1406.35536
