"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz6.19","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0463,113.5314,20210511,10:55:30,"NPZ6","No-take","npz6.19",48.1,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.19"
"npz6.2","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0862,113.3863,20210513,13:26:50,"NPZ6","No-take","npz6.2",92,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.2"
"npz6.20","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0462,113.4413,20210511,13:09:55,"NPZ6","No-take","npz6.20",51,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.20"
"npz6.21","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0737,113.4014,20210511,13:59:39,"NPZ6","No-take","npz6.21",57.4,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.21"
"npz6.23","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.041,113.3362,20210511,15:50:26,"NPZ6","No-take","npz6.23",151,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.23"
"npz6.24","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0836,113.5114,20210513,10:31:21,"NPZ6","No-take","npz6.24",49.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.24"
"npz6.25","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0362,113.3815,20210511,14:53:40,"NPZ6","No-take","npz6.25",70.6,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.25"
"npz6.26","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0487,113.4414,20210511,13:01:18,"NPZ6","No-take","npz6.26",42,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.26"
"npz6.27","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0688,113.2892,20210513,15:55:35,"NPZ6","No-take","npz6.27",186,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.27"
"npz6.28","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0937,113.429,20210513,12:27:11,"NPZ6","No-take","npz6.28",47.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.28"
"npz6.29","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0837,113.4589,20210511,12:23:21,"NPZ6","No-take","npz6.29",43.1,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.29"
"npz6.3","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0914,113.3864,20210513,13:38:45,"NPZ6","No-take","npz6.3",95.2,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.3"
"npz6.30","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0912,113.3989,20210513,13:12:16,"NPZ6","No-take","npz6.30",87.9,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.30"
"npz6.31","Apogonidae Unknown sp10",0,"Apogonidae","Unknown","sp10","2021-05_Abrolhos_BOSS",-28.0711,113.3938,20210511,14:11:16,"NPZ6","No-take","npz6.31",81.9,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.31"
