"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Labridae","Pseudojuloides","elongatus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Labridae","Suezichthys","cyanolaemus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Labridae","Unknown","sp3",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Labridae","Unknown","spp",NA,1,2146.23811,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Lethrinidae","Gymnocranius","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Lethrinidae","Lethrinus","nebulosus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Lethrinidae","Lethrinus","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Lethrinidae","Unknown","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Lutjanidae","Lutjanus","sp10",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Monacanthidae","Eubalichthys","caeruleoguttatus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Mullidae","Parupeneus","chrysopleuron",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Mullidae","Parupeneus","spilurus",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Nemipteridae","Pentapodus","nagasakiensis",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.1","2021-05_Abrolhos_BOSS","npz6.1","Ostraciidae","Unknown","spp",NA,0,NA,-28.0459,113.3761,20210511,15:06:51,"NPZ6","No-take","npz6.1",90.9,"Claude","Y","Y"
