"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs","npz9.24",-27.1311,113.1067,20210515,"11:14","NPZ9","No-take","npz9.24",117,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.21",-27.1362,113.1014,20210515,"11:26","NPZ9","No-take","npz9.21",122,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.16",-27.1187,113.109,20210515,"13:16","NPZ9","No-take","npz9.16",108,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.27",-27.1164,113.1014,20210515,"13:21","NPZ9","No-take","npz9.27",114,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.13",-27.1113,113.1038,20210515,"13:27","NPZ9","No-take","npz9.13",109,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.17",-27.1012,113.0913,20210515,"13:37","NPZ9","No-take","npz9.17",114,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1",-27.0962,113.0863,20210515,"13:43","NPZ9","No-take","npz9.1",116,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.28",-27.1013,113.0538,20210515,"13:57","NPZ9","No-take","npz9.28",132,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.18",-27.1236,113.0664,20210515,"14:08","NPZ9","No-take","npz9.18",132,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.25",-27.1462,113.074,20210515,"14:17","NPZ9","No-take","npz9.25",133,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.4",-27.1163,113.1139,20210515,"13:11","NPZ9","No-take","npz9.4",104,"Molly","Y","N"
