OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0001.mp4	10364	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0002.mp4	10276	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0003.mp4	10385	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0004.mp4	10499	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0005.mp4	10402	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0006.mp4	10393	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0007.mp4	10251	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0008.mp4	10017	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0009.mp4	10345	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0010.mp4	10331	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0011.mp4	10180	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0012.mp4	10054	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0013.mp4	10284	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0014.mp4	10373	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0015.mp4	10233	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0016.mp4	9999	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0017.mp4	10145	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0018.mp4	10385	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0019.mp4	10305	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0020.mp4	9881	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0021.mp4	10334	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0022.mp4	10398	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0023.mp4	10125	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0024.mp4	10281	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0025.mp4	10378	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0026.mp4	10243	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0027.mp4	10063	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0028.mp4	10412	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0029.mp4	10391	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0030.mp4	10041	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0031.mp4	10056	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0032.mp4	10230	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0033.mp4	10343	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0034.mp4	10220	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0035.mp4	10064	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0036.mp4	10051	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0037.mp4	10055	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0038.mp4	10234	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0039.mp4	10294	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0040.mp4	10054	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0041.mp4	10227	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0042.mp4	10457	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0043.mp4	10295	59.94006
20210308_0735-1537	0	0	0.00000	0	20210308_0735-1537_TOP_0044.mp4	9971	59.94006
