OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20201031_0704-0744	0	20201031_0704-0744_top_0001.avi	2502	20201031_0704-0744_bottom_0001.avi	1918	1.39139		-1.00000	-964.42635	-2069.70738	-3551.34171	7.15549	15.20151	26.20552	48.42515	4222.06523	32.86902					1	AD	Passing	sync		
20201104_0737-1129	0	20201104_0737-1129_TOP_0001.avi	3998	20201104_0737-1129_BOTTOM_0001.avi	2925	2.22333		-1.00000	168.35039	271.86248	-4127.53220	2.27640	2.66768	35.82536	861.20285	4139.90013	4.98220								sync		
20201104_1211-1516	0	20201104_1211-1516_TOP_0001.avi	2210	20201104_1211-1516_BOTTOM_0001.avi	597	1.22901		-1.00000	105.02420	-307.14750	-3657.78944	1.74819	3.10728	28.06008	313.76658	3672.16465	4.47401								sync		
20201107_1030-1330	0	20201107_1030-1330_TOP_0001.avi	2302	20201107_1030-1330_BOTTOM_0001.avi	1621	1.28017		-1.00000	-150.72973	273.76088	-2130.24541	1.12868	1.57372	9.66626	79.26636	2153.04667	8.10621								sync		
20201108_0653-1053	0	20201108_0653-1053_TOP_0001.avi	3605	20201108_0653-1053_BOTTOM_0001.avi	2794	2.00478		-1.00000	-35.11346	1119.74779	2841.84413	10000.00000	10000.00000	10000.00000	0.00000	3054.69248	21.65792					1	AD	Passing	sync		
20201108_1136-1340	0	20201108_1136-1340_TOP_0001.avi	2538	20201108_1136-1340_BOTTOM_0001.avi	1879	1.41141		-1.00000	167.41778	-169.66783	-1815.22626	0.99759	1.07359	7.01358	69.87179	1830.80918	7.04200								sync		
20201111_0717-0810	0	20201111_0717-0810_TOP_0001.avi	2681	20201111_0717-0810_BOTTOM_0001.avi	2035	1.49093		-1.00000	-325.59260	38.59848	-2009.86163	1.60168	0.88285	8.60637	52.54330	2036.42927	9.23680								sync		
20201111_1042-1440	0	20201111_1042-1440_TOP_0007.avi	15622	20201111_1042-1440_BOTTOM_0005.avi	31326	114.17462	326	1.67723	442.42226	-833.22169	-2078.10074	2.19733	3.89390	9.62503	4.97579	2282.21351	24.65972	Berycidae	Centroberyx	sp1					sync		
20201119_0630-1036	0	20201119_0630-1036_TOP_0001.avi	3585	20201119_0630-1036_BOTTOM_0001.avi	2805	1.99366		-1.00000	-138.79942	-590.48256	-3402.39686	1.75073	4.70600	24.20653	262.89396	3456.04389	9.49012								Sync Point		
