"","z","reef","mean.relief","roughness","detrended"
"BOSS.total.abundance",0,0,1,0,0
"BRUV.total.abundance",0.845,0.02,0.039,0,0.096
"BOSS.species.richness",0,0,1,0,0
"BRUV.species.richness",0.419,0.356,0.061,0.002,0.161
