"","z","reef","tpi","mean.relief","sd.relief","roughness","detrended"
"total.abundance_BOSS",1,0,1,0,1,0,0
"species.richness_BOSS",0.004,0,0.361,0.996,0.004,0,0
"total.abundance_BRUV",0,1,0.936,0,0,1,0
"species.richness_BRUV",0.452,0.497,0.497,0.043,0.701,0.247,0.001
