"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id","method"
"22","Carangidae Decapterus spp",59,"Carangidae","Decapterus","spp","2021-05_PtCloates_BOSS",-22.7438,113.5337,"20/05/2021 0:23","Point Cloates","No-take",96.4,"Yes","Yes","2021-05_PtCloates_BOSS.22","BOSS"
"228","Carangidae Decapterus spp",1,"Carangidae","Decapterus","spp","2022-05_PtCloates_Naked-BOSS",-22.7233,113.5472,"25/05/2022 5:01","Point Cloates","No-take",88,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.228","BOSS"
"249","Carangidae Decapterus spp",1,"Carangidae","Decapterus","spp","2022-05_PtCloates_Naked-BOSS",-22.7248,113.5444,"25/05/2022 4:07","Point Cloates","No-take",92.3,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.249","BOSS"
"268","Carangidae Decapterus spp",2,"Carangidae","Decapterus","spp","2022-05_PtCloates_Naked-BOSS",-22.7054,113.5501,"25/05/2022 7:12","Point Cloates","No-take",90.6,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.268","BOSS"
"269","Carangidae Gnathanodon speciosus",52,"Carangidae","Gnathanodon","speciosus","2022-05_PtCloates_Naked-BOSS",-22.7429,113.5458,"21/05/2022 6:27","Point Cloates","No-take",83.1,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.269","BOSS"
"25","Carangidae Pseudocaranx spp",1,"Carangidae","Pseudocaranx","spp","2021-05_PtCloates_BOSS",-22.7262,113.4913,"20/05/2021 1:21","Point Cloates","Fished",208,"Yes","Yes","2021-05_PtCloates_BOSS.25","BOSS"
"45","Carangidae Pseudocaranx spp",1,"Carangidae","Pseudocaranx","spp","2021-05_PtCloates_BOSS",-22.7512,113.4889,"19/05/2021 4:28","Point Cloates","Fished",191,"Yes","Yes","2021-05_PtCloates_BOSS.45","BOSS"
"253","Carangidae Seriola spp",1,"Carangidae","Seriola","spp","2022-05_PtCloates_Naked-BOSS",-22.7509,113.538,"19/05/2022 3:26","Point Cloates","No-take",91.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.253","BOSS"
"211","Carangidae Unknown spp",1,"Carangidae","Unknown","spp","2022-05_PtCloates_Naked-BOSS",-22.7554,113.54,"19/05/2022 1:11","Point Cloates","No-take",87.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.211","BOSS"
"211","Carcharhinidae Carcharhinus albimarginatus",1,"Carcharhinidae","Carcharhinus","albimarginatus","2022-05_PtCloates_Naked-BOSS",-22.7554,113.54,"19/05/2022 1:11","Point Cloates","No-take",87.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.211","BOSS"
"260","Carcharhinidae Carcharhinus albimarginatus",2,"Carcharhinidae","Carcharhinus","albimarginatus","2022-05_PtCloates_Naked-BOSS",-22.7177,113.5525,"25/05/2022 5:53","Point Cloates","No-take",83.6,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.260","BOSS"
"28","Carcharhinidae Carcharhinus plumbeus",1,"Carcharhinidae","Carcharhinus","plumbeus","2021-05_PtCloates_BOSS",-22.7585,113.4762,"19/05/2021 3:26","Point Cloates","Fished",206,"Yes","Yes","2021-05_PtCloates_BOSS.28","BOSS"
"25","Carcharhinidae Carcharhinus spp",1,"Carcharhinidae","Carcharhinus","spp","2021-05_PtCloates_BOSS",-22.7262,113.4913,"20/05/2021 1:21","Point Cloates","Fished",208,"Yes","Yes","2021-05_PtCloates_BOSS.25","BOSS"
"47","Carcharhinidae Carcharhinus spp",1,"Carcharhinidae","Carcharhinus","spp","2021-05_PtCloates_BOSS",-22.7637,113.4839,"19/05/2021 5:28","Point Cloates","Fished",190,"Yes","Yes","2021-05_PtCloates_BOSS.47","BOSS"
"201","Chaetodontidae Chaetodon assarius",1,"Chaetodontidae","Chaetodon","assarius","2022-05_PtCloates_Naked-BOSS",-22.7488,113.5378,"19/05/2022 3:50","Point Cloates","No-take",94.9,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.201","BOSS"
"232","Chaetodontidae Chaetodon assarius",1,"Chaetodontidae","Chaetodon","assarius","2022-05_PtCloates_Naked-BOSS",-22.7576,113.5368,"19/05/2022 0:59","Point Cloates","No-take",90.9,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.232","BOSS"
"264","Chaetodontidae Chaetodon assarius",1,"Chaetodontidae","Chaetodon","assarius","2022-05_PtCloates_Naked-BOSS",-22.7655,113.5389,"19/05/2022 2:34","Point Cloates","No-take",81.6,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.264","BOSS"
"21","Chaetodontidae Heniochus acuminatus",2,"Chaetodontidae","Heniochus","acuminatus","2021-05_PtCloates_BOSS",-22.6963,113.544,"20/05/2021 4:33","Point Cloates","No-take",103,"Yes","Yes","2021-05_PtCloates_BOSS.21","BOSS"
"242","Chaetodontidae Heniochus acuminatus",2,"Chaetodontidae","Heniochus","acuminatus","2022-05_PtCloates_Naked-BOSS",-22.7009,113.5519,"25/05/2022 7:53","Point Cloates","No-take",88.5,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.242","BOSS"
"262","Chaetodontidae Heniochus acuminatus",1,"Chaetodontidae","Heniochus","acuminatus","2022-05_PtCloates_Naked-BOSS",-22.7635,113.5347,"19/05/2022 2:45","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.262","BOSS"
"264","Chaetodontidae Heniochus acuminatus",1,"Chaetodontidae","Heniochus","acuminatus","2022-05_PtCloates_Naked-BOSS",-22.7655,113.5389,"19/05/2022 2:34","Point Cloates","No-take",81.6,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.264","BOSS"
