"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","unique_id"
"2021-05_PtCloates_BOSS","22","20210520_0809-1314_BOTTOM_0003_0001.mp4","1.56490","Pinguipedidae","Parapercis","nebulosa",1,"-22.7438","113.5337","2021-05-20T08:23:06+08:00","Point Cloates","No-take","96.4","Yes","Yes","2021-05_PtCloates_BOSS_22"
"2021-05_PtCloates_BOSS","25","20210520_0809-1314_BOTTOM_0006_0001.mp4","0.17323","Carangidae","Pseudocaranx","spp",1,"-22.7262","113.4913","2021-05-20T09:21:43+08:00","Point Cloates","Fished","208","Yes","Yes","2021-05_PtCloates_BOSS_25"
"2021-05_PtCloates_BOSS","25","20210520_0809-1314_BOTTOM_0006_0001.mp4","0.90618","Carcharhinidae","Carcharhinus","spp",1,"-22.7262","113.4913","2021-05-20T09:21:43+08:00","Point Cloates","Fished","208","Yes","Yes","2021-05_PtCloates_BOSS_25"
"2021-05_PtCloates_BOSS","25","20210520_0809-1314_BOTTOM_0006_0001.mp4","1.39278","Gobiidae",NA,"spp",1,"-22.7262","113.4913","2021-05-20T09:21:43+08:00","Point Cloates","Fished","208","Yes","Yes","2021-05_PtCloates_BOSS_25"
"2021-05_PtCloates_BOSS","25","20210520_0809-1314_BOTTOM_0006_0001.mp4","0.97264","Pinguipedidae","Parapercis","nebulosa",1,"-22.7262","113.4913","2021-05-20T09:21:43+08:00","Point Cloates","Fished","208","Yes","Yes","2021-05_PtCloates_BOSS_25"
"2021-05_PtCloates_BOSS","28","20210519_1108-1552_TOP_0004_0001.mp4","2.31092","Carcharhinidae","Carcharhinus","plumbeus",1,"-22.7585","113.4762","2021-05-19T11:26:56+08:00","Point Cloates","Fished","206","Yes","Yes","2021-05_PtCloates_BOSS_28"
"2021-05_PtCloates_BOSS","29","20210519_1108-1552_BOTTOM2_0006_0001.mp4","2.61428","SUS","SUS","SUS",2,"-22.7758","113.494","2021-05-19T14:05:09+08:00","Point Cloates","Fished","152","Yes","Yes","2021-05_PtCloates_BOSS_29"
"2021-05_PtCloates_BOSS","29","20210519_1108-1552_BOTTOM2_0006_0001.mp4","0.64537","Triakidae",NA,"spp",1,"-22.7758","113.494","2021-05-19T14:05:09+08:00","Point Cloates","Fished","152","Yes","Yes","2021-05_PtCloates_BOSS_29"
"2021-05_PtCloates_BOSS","31","20210519_1108-1552_BOTTOM2_0011_0001.mp4","1.67890","Carangidae","Carangoides","spp",1,"-22.7936","113.5041","2021-05-19T15:43:13+08:00","Point Cloates","Fished","116","Yes","Yes","2021-05_PtCloates_BOSS_31"
"2021-05_PtCloates_BOSS","31","20210519_1108-1552_BOTTOM2_0011_0001.mp4","2.63180","Lutjanidae","Pristipomoides","spp",1,"-22.7936","113.5041","2021-05-19T15:43:13+08:00","Point Cloates","Fished","116","Yes","Yes","2021-05_PtCloates_BOSS_31"
"2021-05_PtCloates_BOSS","31","20210519_1108-1552_BOTTOM2_0011_0001.mp4","1.79791","Pinguipedidae","Parapercis","nebulosa",1,"-22.7936","113.5041","2021-05-19T15:43:13+08:00","Point Cloates","Fished","116","Yes","Yes","2021-05_PtCloates_BOSS_31"
"2021-05_PtCloates_BOSS","31","20210519_1108-1552_BOTTOM2_0011_0001.mp4","1.28045","Priacanthidae","Priacanthus","spp",1,"-22.7936","113.5041","2021-05-19T15:43:13+08:00","Point Cloates","Fished","116","Yes","Yes","2021-05_PtCloates_BOSS_31"
"2021-05_PtCloates_BOSS","33","20210520_0809-1314_BOTTOM_0007_0001.mp4","1.00601","Sparidae","Dentex","spp",2,"-22.7163","113.4963","2021-05-20T09:54:39+08:00","Point Cloates","Fished","207","Yes","Yes","2021-05_PtCloates_BOSS_33"
"2021-05_PtCloates_BOSS","33","20210520_0809-1314_BOTTOM_0007_0001.mp4","0.17684","SUS","SUS","SUS",1,"-22.7163","113.4963","2021-05-20T09:54:39+08:00","Point Cloates","Fished","207","Yes","Yes","2021-05_PtCloates_BOSS_33"
"2021-05_PtCloates_BOSS","34","20210519_1108-1552_BOTTOM2_0003_0001.mp4","0.82749","SUS","SUS","SUS",1,"-22.7662","113.4889","2021-05-19T13:14:53+08:00","Point Cloates","Fished","179","Yes","Yes","2021-05_PtCloates_BOSS_34"
"2021-05_PtCloates_BOSS","34","20210519_1108-1552_BOTTOM2_0004_0001.mp4","3.02942","Unknown","Unknown","Unknown",1,"-22.7662","113.4889","2021-05-19T13:14:53+08:00","Point Cloates","Fished","179","Yes","Yes","2021-05_PtCloates_BOSS_34"
"2021-05_PtCloates_BOSS","4","20210520_0809-1314_BOTTOM_0011_0001.mp4","0.69542","SUS","SUS","SUS",1,"-22.7113","113.5415","2021-05-20T11:01:54+08:00","Point Cloates","No-take","100","Yes","Yes","2021-05_PtCloates_BOSS_4"
"2021-05_PtCloates_BOSS","40","20210519_1108-1552_BOTTOM2_0007_0001.mp4","0.16322","Pinguipedidae","Parapercis","nebulosa",2,"-22.7809","113.4964","2021-05-19T14:17:36+08:00","Point Cloates","Fished","138","Yes","Yes","2021-05_PtCloates_BOSS_40"
"2021-05_PtCloates_BOSS","45","20210519_1108-1552_BOTTOM2_0001_0001.mp4","2.51251","Carangidae","Pseudocaranx","spp",1,"-22.7512","113.4889","2021-05-19T12:28:38+08:00","Point Cloates","Fished","191","Yes","Yes","2021-05_PtCloates_BOSS_45"
"2021-05_PtCloates_BOSS","46","20210520_0809-1314_BOTTOM_0004_0001.mp4","0.67150","SUS","SUS","SUS",1,"-22.7463","113.5214","2021-05-20T08:47:47+08:00","Point Cloates","Fished","113","Yes","Yes","2021-05_PtCloates_BOSS_46"
"2021-05_PtCloates_BOSS","47","20210519_1108-1552_BOTTOM2_0004_0001.mp4","1.29073","Carcharhinidae","Carcharhinus","spp",1,"-22.7637","113.4839","2021-05-19T13:28:30+08:00","Point Cloates","Fished","190","Yes","Yes","2021-05_PtCloates_BOSS_47"
"2021-05_PtCloates_BOSS","47","20210519_1108-1552_BOTTOM2_0004_0001.mp4","2.38766","Pinguipedidae","Parapercis","nebulosa",1,"-22.7637","113.4839","2021-05-19T13:28:30+08:00","Point Cloates","Fished","190","Yes","Yes","2021-05_PtCloates_BOSS_47"
"2021-05_PtCloates_BOSS","47","20210519_1108-1552_BOTTOM2_0004_0001.mp4","0.90618","Unknown","Unknown","Unknown",1,"-22.7637","113.4839","2021-05-19T13:28:30+08:00","Point Cloates","Fished","190","Yes","Yes","2021-05_PtCloates_BOSS_47"
"2021-05_PtCloates_BOSS","48","20210519_1108-1552_BOTTOM2_0005_0001.mp4","0.25831","Unknown","Unknown","Unknown",1,"-22.7712","113.4688","2021-05-19T13:44:57+08:00","Point Cloates","Fished","208","Yes","Yes","2021-05_PtCloates_BOSS_48"
"2021-05_PtCloates_BOSS","49","20210519_1108-1552_BOTTOM2_0010_0001.mp4","0.21104","Pinguipedidae","Parapercis","nebulosa",3,"-22.7986","113.4864","2021-05-19T15:28:04+08:00","Point Cloates","Fished","148","Yes","Yes","2021-05_PtCloates_BOSS_49"
"2021-05_PtCloates_BOSS","50","20210520_0809-1314_BOTTOM_0015_0001.mp4","0.43293","Lethrinidae","Lethrinus","miniatus",1,"-22.7026","113.556","2021-05-20T12:11:48+08:00","Point Cloates","No-take","77.6","Yes","Yes","2021-05_PtCloates_BOSS_50"
"2021-05_PtCloates_BOSS","50","20210520_0809-1314_BOTTOM_0015_0001.mp4","0.61228","Pinguipedidae","Parapercis","nebulosa",1,"-22.7026","113.556","2021-05-20T12:11:48+08:00","Point Cloates","No-take","77.6","Yes","Yes","2021-05_PtCloates_BOSS_50"
"2021-05_PtCloates_BOSS","50","20210520_0809-1314_BOTTOM_0015_0001.mp4","0.00000","Priacanthidae","Priacanthus","spp",1,"-22.7026","113.556","2021-05-20T12:11:48+08:00","Point Cloates","No-take","77.6","Yes","Yes","2021-05_PtCloates_BOSS_50"
"2021-05_PtCloates_BOSS","9","20210520_0809-1314_BOTTOM_0016_0001.mp4","0.46352","Pinguipedidae","Parapercis","nebulosa",1,"-22.6937","113.5389","2021-05-20T12:21:40+08:00","Point Cloates","No-take","114","Yes","Yes","2021-05_PtCloates_BOSS_9"
